claim_id,anomaly_score,anomaly_flag,anomaly_reason,isolation_forest_score,lof_score,ocsvm_score
CLM00001,0.3716,0,Normal range across operational and financial metrics,0.3716,0.1502,0.6788
CLM00002,0.2628,0,Normal range across operational and financial metrics,0.2628,0.1349,0.7145
CLM00003,0.4505,0,Normal range across operational and financial metrics,0.4505,0.2316,0.8397
CLM00004,0.4174,0,Normal range across operational and financial metrics,0.4174,0.1085,0.6027
CLM00005,0.2166,0,Normal range across operational and financial metrics,0.2166,0.0374,0.6494
CLM00006,0.5555,0,High claimant claim frequency (6 claims); High-volume provider concentration (25 claims),0.5555,0.2799,0.8395
CLM00007,0.0923,0,Normal range across operational and financial metrics,0.0923,0.0379,0.2374
CLM00008,0.5235,0,Normal range across operational and financial metrics,0.5235,0.5333,0.8396
CLM00009,0.1469,0,Normal range across operational and financial metrics,0.1469,0.0452,0.4441
CLM00010,0.5718,1,High amount-to-premium ratio (13.0x vs median 2.9x); Invoice unusually small relative to claim (0.05x ratio); High claimant claim frequency (6 claims),0.5718,0.3982,0.8395
CLM00011,0.3964,0,Normal range across operational and financial metrics,0.3964,0.2221,0.7826
CLM00012,0.2354,0,Normal range across operational and financial metrics,0.2354,0.1329,0.6055
CLM00013,0.8477,1,Invoice exceeds claim amount (5.4x ratio),0.8477,0.6999,0.8702
CLM00014,0.5094,0,Normal range across operational and financial metrics,0.5094,0.1103,0.8007
CLM00015,0.1398,0,Normal range across operational and financial metrics,0.1398,0.0503,0.4584
CLM00016,0.1434,0,Normal range across operational and financial metrics,0.1434,0.0814,0.5084
CLM00017,0.7254,1,Invoice exceeds claim amount (22.9x ratio),0.7254,0.8227,0.8396
CLM00018,0.3279,0,Normal range across operational and financial metrics,0.3279,0.0794,0.7711
CLM00019,0.5868,1,High claimant claim frequency (5 claims),0.5868,0.4027,0.8395
CLM00020,0.5643,0,Invoice exceeds claim amount (3.2x ratio); Multiple vehicles on file (4 vehicles),0.5643,0.2868,0.8394
CLM00021,0.1667,0,Normal range across operational and financial metrics,0.1667,0.0807,0.4914
CLM00022,0.3223,0,Normal range across operational and financial metrics,0.3223,0.1474,0.6049
CLM00023,0.3469,0,Normal range across operational and financial metrics,0.3469,0.1786,0.6635
CLM00024,0.3251,0,Normal range across operational and financial metrics,0.3251,0.1557,0.7962
CLM00025,0.4793,0,Normal range across operational and financial metrics,0.4793,0.1241,0.5926
CLM00026,0.4383,0,Normal range across operational and financial metrics,0.4383,0.2288,0.8396
CLM00027,0.3214,0,Normal range across operational and financial metrics,0.3214,0.1948,0.8099
CLM00028,0.2625,0,Normal range across operational and financial metrics,0.2625,0.1295,0.5761
CLM00029,0.4439,0,Normal range across operational and financial metrics,0.4439,0.1444,0.6518
CLM00030,0.3804,0,Normal range across operational and financial metrics,0.3804,0.1154,0.7219
CLM00031,0.6214,1,Multiple vehicles on file (3 vehicles),0.6214,0.2341,0.8396
CLM00032,0.4161,0,Normal range across operational and financial metrics,0.4161,0.1811,0.6222
CLM00033,0.6686,1,"High claim amount (INR 265,285, Top 5%); High amount-to-premium ratio (17.5x vs median 2.9x); Invoice unusually small relative to claim (0.07x ratio)",0.6686,0.7196,0.8858
CLM00034,0.1288,0,Normal range across operational and financial metrics,0.1288,0.0663,0.5027
CLM00035,0.2478,0,Normal range across operational and financial metrics,0.2478,0.0598,0.5321
CLM00036,0.4884,0,Normal range across operational and financial metrics,0.4884,0.1234,0.794
CLM00037,0.6225,1,Invoice exceeds claim amount (22.3x ratio),0.6225,0.7426,0.8042
CLM00038,0.4312,0,Normal range across operational and financial metrics,0.4312,0.1606,0.5808
CLM00039,0.0497,0,Normal range across operational and financial metrics,0.0497,0.0422,0.4198
CLM00040,0.4476,0,Normal range across operational and financial metrics,0.4476,0.3139,0.7802
CLM00041,0.6002,1,Invoice exceeds claim amount (9.3x ratio); Multiple vehicles on file (3 vehicles),0.6002,0.3454,0.7395
CLM00042,0.3296,0,Normal range across operational and financial metrics,0.3296,0.1684,0.7093
CLM00043,0.6683,1,High claimant claim frequency (5 claims); High-volume provider concentration (25 claims),0.6683,0.5178,0.8398
CLM00044,0.2103,0,Normal range across operational and financial metrics,0.2103,0.0798,0.593
CLM00045,0.3494,0,Normal range across operational and financial metrics,0.3494,0.222,0.6546
CLM00046,0.3726,0,Normal range across operational and financial metrics,0.3726,0.1558,0.6867
CLM00047,0.0049,0,Normal range across operational and financial metrics,0.0049,0.0272,0.2217
CLM00048,0.4639,0,Normal range across operational and financial metrics,0.4639,0.2398,0.8397
CLM00049,0.2786,0,Normal range across operational and financial metrics,0.2786,0.1354,0.7156
CLM00050,0.1339,0,Normal range across operational and financial metrics,0.1339,0.0419,0.142
CLM00051,0.1643,0,Normal range across operational and financial metrics,0.1643,0.0393,0.3974
CLM00052,0.7233,1,High amount-to-premium ratio (15.6x vs median 2.9x); High claimant claim frequency (6 claims),0.7233,0.6955,0.8395
CLM00053,0.2373,0,Normal range across operational and financial metrics,0.2373,0.0645,0.5606
CLM00054,0.2752,0,Normal range across operational and financial metrics,0.2752,0.1163,0.5181
CLM00055,0.1595,0,Normal range across operational and financial metrics,0.1595,0.051,0.6383
CLM00056,0.5338,0,Normal range across operational and financial metrics,0.5338,0.1751,0.7079
CLM00057,0.4712,0,Normal range across operational and financial metrics,0.4712,0.1716,0.657
CLM00058,0.3815,0,Normal range across operational and financial metrics,0.3815,0.1383,0.6708
CLM00059,0.1789,0,Normal range across operational and financial metrics,0.1789,0.0691,0.436
CLM00060,0.6211,1,High amount-to-premium ratio (11.6x vs median 2.9x); High claimant claim frequency (6 claims),0.6211,0.3417,0.8394
CLM00061,0.1693,0,Normal range across operational and financial metrics,0.1693,0.0209,0.4047
CLM00062,0.3223,0,Normal range across operational and financial metrics,0.3223,0.1863,0.6525
CLM00063,0.2504,0,Normal range across operational and financial metrics,0.2504,0.1264,0.5
CLM00064,0.1307,0,Normal range across operational and financial metrics,0.1307,0.0704,0.3362
CLM00065,0.1566,0,Normal range across operational and financial metrics,0.1566,0.0411,0.4144
CLM00066,0.019,0,Normal range across operational and financial metrics,0.019,0.0245,0.2336
CLM00067,0.2947,0,Normal range across operational and financial metrics,0.2947,0.1729,0.6045
CLM00068,0.1906,0,Normal range across operational and financial metrics,0.1906,0.1276,0.592
CLM00069,0.4261,0,Normal range across operational and financial metrics,0.4261,0.2589,0.7349
CLM00070,0.137,0,Normal range across operational and financial metrics,0.137,0.0607,0.4618
CLM00071,0.3613,0,Normal range across operational and financial metrics,0.3613,0.1162,0.6176
CLM00072,0.201,0,Normal range across operational and financial metrics,0.201,0.0677,0.476
