claimant_id,total_claims,avg_claim_amount,max_claim_amount,claims_last_30_days,previous_rejections
CLT0001,4,88739.0,171708,2,1
CLT0002,3,158549.33,232912,8,5
CLT0003,4,133675.25,270016,0,5
CLT0004,1,27506.0,27506,5,2
CLT0005,2,198927.5,233300,2,2
CLT0006,2,189382.0,232145,7,4
CLT0007,4,105559.0,220979,2,4
CLT0008,0,0.0,0,4,0
CLT0009,0,0.0,0,0,3
CLT0010,0,0.0,0,7,1
CLT0011,1,243539.0,243539,7,2
CLT0012,4,80296.5,152798,2,0
CLT0013,3,181133.0,212418,8,4
CLT0014,5,110665.4,204582,5,5
CLT0015,1,222549.0,222549,4,3
CLT0016,1,299077.0,299077,4,4
CLT0017,1,130147.0,130147,2,4
CLT0018,4,167815.75,242665,7,2
CLT0019,1,171101.0,171101,1,5
CLT0020,3,169257.0,242182,7,0
CLT0021,1,88549.0,88549,2,5
CLT0022,3,173699.0,235343,8,0
CLT0023,3,157273.0,172195,4,0
CLT0024,6,157529.67,265285,6,4
CLT0025,2,109274.5,204096,3,3
CLT0026,4,154863.75,217044,5,0
CLT0027,0,0.0,0,5,0
CLT0028,4,169982.0,222674,3,4
CLT0029,4,107969.75,136946,8,1
CLT0030,4,74898.75,159584,4,1
CLT0031,2,150541.5,247872,0,0
CLT0032,1,246756.0,246756,8,3
CLT0033,3,88473.67,197042,1,4
CLT0034,4,119906.75,232119,6,1
CLT0035,2,96397.0,147352,7,2
CLT0036,2,105774.0,153281,8,0
CLT0037,3,123711.67,203042,5,3
CLT0038,2,122950.0,195103,2,5
CLT0039,3,129779.67,172928,6,2
CLT0040,4,129056.75,216706,6,2
CLT0041,5,110014.0,188078,0,2
CLT0042,2,202508.5,251607,5,2
CLT0043,2,102433.5,173641,4,3
CLT0044,2,189192.5,229981,8,0
CLT0045,1,248718.0,248718,3,5
CLT0046,3,136785.33,236584,7,5
CLT0047,2,58206.5,111389,6,3
CLT0048,7,166448.71,240902,4,1
CLT0049,1,45574.0,45574,6,5
CLT0050,5,151585.0,244585,6,1
CLT0051,3,193483.33,246391,1,1
CLT0052,3,233789.33,251034,3,2
CLT0053,6,128255.67,177810,7,4
CLT0054,4,139999.25,209253,5,0
CLT0055,2,185457.5,243573,6,0
CLT0056,4,92078.0,173140,0,3
CLT0057,1,41484.0,41484,4,3
CLT0058,3,117045.0,159295,2,4
CLT0059,1,122196.0,122196,7,5
CLT0060,4,117689.75,222677,2,1
CLT0061,4,101150.0,239165,2,3
CLT0062,1,21603.0,21603,4,4
CLT0063,2,163810.0,230933,7,0
CLT0064,3,191775.67,222266,4,4
CLT0065,2,156913.0,188975,4,3
CLT0066,3,169593.0,240479,8,5
CLT0067,1,126124.0,126124,7,1
CLT0068,4,90680.25,230657,0,0
CLT0069,2,200006.0,236423,2,2
CLT0070,3,155820.67,176356,4,5
CLT0071,3,131853.0,167676,7,0
CLT0072,3,89986.0,104917,4,3
CLT0073,3,145042.0,232571,2,3
CLT0074,6,140971.5,211010,3,0
CLT0075,2,135821.0,226061,1,2
CLT0076,1,12055.0,12055,7,0
CLT0077,3,89416.0,164204,5,4
CLT0078,2,144801.0,189401,7,4
CLT0079,1,202249.0,202249,6,2
CLT0080,3,117243.0,147856,7,5
CLT0081,1,99139.0,99139,1,2
CLT0082,4,137448.75,238227,8,5
CLT0083,4,117098.25,229899,0,2
CLT0084,5,153999.2,238203,2,4
CLT0085,5,142279.8,192021,0,1
CLT0086,2,103193.5,124182,5,3
CLT0087,1,145417.0,145417,2,2
CLT0088,1,75361.0,75361,2,0
CLT0089,1,162429.0,162429,4,2
CLT0090,5,146437.6,222181,6,5
CLT0091,5,131551.8,217441,5,0
CLT0092,3,126542.33,226643,4,2
CLT0093,0,0.0,0,8,5
CLT0094,1,144207.0,144207,1,4
CLT0095,3,151537.33,223874,3,5
CLT0096,2,202992.0,219948,2,0
CLT0097,3,164415.33,225038,2,4
CLT0098,1,16984.0,16984,5,2
CLT0099,4,80220.25,132760,4,2
CLT0100,6,93453.5,174227,5,0
CLT0101,1,162819.0,162819,8,4
CLT0102,2,55804.0,63196,5,1
CLT0103,6,177853.33,243287,0,1
CLT0104,3,136949.33,210743,8,2
CLT0105,4,153257.25,229476,5,3
CLT0106,4,142294.5,224164,6,2
CLT0107,1,235329.0,235329,2,0
CLT0108,2,207552.0,235132,3,1
CLT0109,3,206577.67,240437,8,1
CLT0110,3,134086.33,168330,3,4
CLT0111,3,159770.0,218703,8,4
CLT0112,0,0.0,0,8,5
CLT0113,3,102725.33,104842,1,3
CLT0114,3,106448.33,170599,7,0
CLT0115,3,191479.33,243532,1,1
CLT0116,0,0.0,0,0,3
CLT0117,4,89145.75,225368,5,2
CLT0118,1,89309.0,89309,5,1
CLT0119,2,110811.5,202198,7,4
CLT0120,1,67389.0,67389,8,2
