claim_id,compared_claim_id,similarity_score,duplicate_type,matching_fields,duplicate_flag,claimant_similarity,policy_similarity,vehicle_similarity,date_similarity,amount_similarity,location_similarity,incident_similarity,invoice_similarity,description_similarity
CLM00001,CLM00320,0.4903,SIMILAR,"claimant_id, close_date_30d, close_amount_10pct, city",1,1.0,0.2,0.0,0.5833,0.9476,1.0,0.28,0.0,0.7
CLM00002,CLM00167,0.4651,SIMILAR,"claimant_id, close_amount_10pct, city, claim_type",1,1.0,0.0,0.0,0.2167,0.946,1.0,0.88,0.0,0.7
CLM00003,CLM00261,0.4413,SIMILAR,"claimant_id, city, claim_type",1,1.0,0.2,0.0,0.0,0.7331,1.0,0.88,0.0,0.7
CLM00004,CLM00006,0.4876,SIMILAR,"claimant_id, close_amount_10pct, city, claim_type",1,1.0,0.2,0.0,0.1833,0.912,1.0,0.8895,0.0,0.7237
CLM00005,CLM00166,0.4177,NO_MATCH,"close_date_7d, city, claim_type",0,0.2359,0.0,0.1,0.9333,0.775,1.0,0.88,0.0,0.7
CLM00006,CLM00211,0.5703,SIMILAR,"claimant_id, vehicle_id, close_date_30d, city",1,1.0,0.0,1.0,0.55,0.5978,1.0,0.28,0.0,0.7
CLM00007,CLM00051,0.4062,SIMILAR,"invoice_id, close_date_7d, close_amount_10pct",1,0.2359,0.0,0.0,0.9333,0.9053,0.0,0.2846,1.0,0.7116
CLM00008,CLM00297,0.4551,SIMILAR,"policy_id, close_date_30d, city",1,0.2513,1.0,0.1,0.8167,0.3932,1.0,0.28,0.0,0.7
CLM00009,CLM00012,0.4852,SIMILAR,"claimant_id, provider_id, city, claim_type",1,1.0,0.0,0.0,0.3167,0.6919,1.0,0.8846,0.3,0.7116
CLM00010,CLM00190,0.4808,SIMILAR,"claimant_id, close_amount_10pct, city, claim_type",1,1.0,0.2,0.0,0.1167,0.9378,1.0,0.8951,0.0,0.7378
CLM00011,CLM00202,0.46,SIMILAR,"vehicle_id, close_date_30d, close_amount_10pct, city",1,0.2513,0.0,1.0,0.5833,0.9466,1.0,0.2756,0.0,0.689
CLM00012,CLM00009,0.4852,SIMILAR,"claimant_id, provider_id, city, claim_type",1,1.0,0.0,0.0,0.3167,0.6919,1.0,0.8846,0.3,0.7116
CLM00013,CLM00106,0.4295,SIMILAR,"invoice_id, close_date_7d, claim_type",1,0.2359,0.0,0.0,0.9833,0.4634,0.0,0.8854,1.0,0.7134
CLM00014,CLM00289,0.423,NO_MATCH,"close_date_7d, city, claim_type",0,0.2359,0.2,0.0,0.9,0.7326,1.0,0.8756,0.0,0.689
CLM00015,CLM00154,0.3996,NO_MATCH,"close_date_7d, exact_amount, city",0,0.2359,0.2,0.0,0.9833,0.9538,1.0,0.2951,0.0,0.7378
CLM00016,CLM00258,0.4796,SIMILAR,"claimant_id, close_date_30d, city",1,1.0,0.0,0.0,0.7667,0.8708,1.0,0.2756,0.0,0.689
CLM00017,CLM00079,0.5025,SIMILAR,"claimant_id, close_date_30d, city, claim_type",1,1.0,0.2,0.0,0.8167,0.1097,1.0,0.89,0.0,0.725
CLM00018,CLM00196,0.5209,SIMILAR,"claimant_id, close_date_30d, city, claim_type",1,1.0,0.0,0.0,0.7333,0.7235,1.0,0.8854,0.0,0.7134
CLM00019,CLM00166,0.464,SIMILAR,"claimant_id, close_date_30d, city",1,1.0,0.2,0.0,0.5667,0.705,1.0,0.2854,0.0,0.7134
CLM00020,CLM00124,0.4472,SIMILAR,"claimant_id, close_date_30d, city",1,1.0,0.2,0.1,0.6833,0.2116,1.0,0.2854,0.0,0.7134
CLM00021,CLM00185,0.5448,SIMILAR,"claimant_id, close_date_30d, city, claim_type",1,1.0,0.2,0.0,0.6833,0.7375,1.0,0.8854,0.0,0.7134
CLM00022,CLM00295,0.4768,POSSIBLE_DUPLICATE,"vehicle_id, close_date_7d, claim_type",1,0.2359,0.2,1.0,0.9667,0.1605,0.0,0.8854,0.0,0.7134
CLM00023,CLM00217,0.4595,NO_MATCH,"close_date_7d, exact_amount, city, claim_type",0,0.2359,0.2,0.0,0.9667,0.9874,1.0,0.8854,0.0,0.7134
CLM00024,CLM00149,0.462,SIMILAR,"claimant_id, close_date_7d, city",1,1.0,0.0,0.0,0.9,0.4846,1.0,0.2854,0.0,0.7134
CLM00025,CLM00053,0.417,SIMILAR,"invoice_id, claim_type",1,0.2513,0.2,0.1,0.3667,0.7776,0.0,0.89,1.0,0.725
CLM00026,CLM00190,0.4334,SIMILAR,"policy_id, close_date_30d",1,0.2359,1.0,0.0,0.8,0.8863,0.0,0.2756,0.0,0.689
CLM00027,CLM00245,0.4258,NO_MATCH,"close_date_30d, city, claim_type",0,0.2205,0.2,0.0,0.85,0.8569,1.0,0.8854,0.0,0.7134
CLM00028,CLM00090,0.5418,SIMILAR,"policy_id, close_date_7d, city, claim_type",1,0.2513,1.0,0.0,0.9,0.6853,1.0,0.88,0.0,0.7
CLM00029,CLM00270,0.489,SIMILAR,"claimant_id, close_date_30d, city",1,1.0,0.2,0.0,0.85,0.5299,1.0,0.2854,0.0,0.7134
