claim_id_1,claim_id_2,similarity_score,duplicate_type,matching_fields,days_diff,amount_similarity,invoice_similarity,vehicle_similarity,claimant_similarity,fraud_1,fraud_2
CLM00053,CLM00272,0.6257,SIMILAR,"claimant_id, policy_id, city, claim_type",45,0.8568,0.0,0.1,1.0,0,0
CLM00170,CLM00247,0.612,SIMILAR,"claimant_id, invoice_id, city, claim_type",38,0.8885,1.0,0.0,1.0,0,0
CLM00033,CLM00052,0.6022,SIMILAR,"claimant_id, policy_id, close_date_30d, city",26,0.8915,0.0,0.0,1.0,1,0
CLM00126,CLM00170,0.5836,SIMILAR,"claimant_id, close_date_30d, exact_amount, city, claim_type",13,0.98,0.0,0.0,1.0,0,0
CLM00006,CLM00211,0.5703,SIMILAR,"claimant_id, vehicle_id, close_date_30d, city",27,0.5978,0.0,1.0,1.0,0,0
CLM00132,CLM00162,0.5685,SIMILAR,"policy_id, vehicle_id, close_date_30d, claim_type",30,0.5729,0.0,1.0,0.2359,0,0
CLM00146,CLM00262,0.5672,SIMILAR,"claimant_id, close_date_7d, city, claim_type",4,0.7412,0.0,0.1,1.0,1,0
CLM00040,CLM00062,0.5634,SIMILAR,"claimant_id, close_date_7d, city, claim_type",1,0.4795,0.0,0.0,1.0,0,0
CLM00207,CLM00252,0.5508,SIMILAR,"claimant_id, close_date_30d, close_amount_10pct, city, claim_type",24,0.9269,0.0,0.0,1.0,1,0
CLM00160,CLM00202,0.5498,POSSIBLE_DUPLICATE,"vehicle_id, close_date_30d, city, claim_type",12,0.6761,0.0,1.0,0.2205,1,0
CLM00034,CLM00290,0.5496,POSSIBLE_DUPLICATE,"vehicle_id, close_date_7d, claim_type",2,0.8988,0.0,1.0,0.2359,1,1
CLM00067,CLM00142,0.545,POSSIBLE_DUPLICATE,"policy_id, invoice_id, provider_id, close_date_30d, city",23,0.6273,1.0,0.1,0.2359,0,1
CLM00021,CLM00185,0.5448,SIMILAR,"claimant_id, close_date_30d, city, claim_type",19,0.7375,0.0,0.0,1.0,1,1
CLM00088,CLM00312,0.5423,SIMILAR,"claimant_id, provider_id, close_date_30d, city, claim_type",21,0.4723,0.3,0.0,1.0,0,0
CLM00028,CLM00090,0.5418,SIMILAR,"policy_id, close_date_7d, city, claim_type",6,0.6853,0.0,0.0,0.2513,1,0
CLM00111,CLM00212,0.5376,SIMILAR,"claimant_id, provider_id, close_date_7d, city",5,0.7705,0.3,0.1,1.0,1,1
CLM00050,CLM00179,0.5373,POSSIBLE_DUPLICATE,"vehicle_id, close_date_7d, exact_amount, city",5,0.951,0.0,1.0,0.2359,1,0
