claim_id,claim_date,claim_amount,claim_age_days,days_since_policy_start,amount_to_premium_ratio,invoice_to_claim_ratio,claimant_claim_frequency,provider_claim_volume,vehicle_age,claimant_age,provider_rating,duplicate_similarity_score,duplicate_flag,claim_type,policy_type,vehicle_type,vehicle_make,provider_type,claimant_city,fraud_label,dup_similarity_score,dup_type,dup_flag,anomaly_score,anomaly_flag,isolation_forest_score,lof_score,ocsvm_score,claim_degree,claimant_degree,policy_degree,vehicle_degree,provider_degree,invoice_degree,location_degree,claim_pagerank,claimant_pagerank,provider_pagerank,claim_betweenness,claimant_betweenness,provider_betweenness,claim_clustering,claimant_clustering,common_neighbors,provider_claim_count,claimant_claim_count,repeated_claimant_provider,fraud_neighbor_count,fraud_neighbor_ratio,suspicious_neighbor_count
CLM00001,2026-01-26,132760,224,6,1.8772,0.6974,1,2,7.0,50.0,3.1,0.4903,1,Theft,Comprehensive,Sedan,Maruti,Surveyor,Ahmedabad,1,0.4903,SIMILAR,1,0.3716,0,0.3716,0.1502,0.6788,6,9,2,6,21,4,90,0.0011165,0.00167767,0.00368452,0.00297895,0.00258639,0.02344063,0.06666667,0.11111111,1,14,4,0,1,0.333333,3
CLM00002,2026-07-13,231421,56,462,2.8806,0.598,3,12,1.0,36.0,4.4,0.4651,1,Theft,Third Party,Sedan,Mahindra,Dealer,Surat,0,0.4651,SIMILAR,1,0.2628,0,0.2628,0.1349,0.7145,6,4,3,4,24,2,91,0.00115517,0.00078061,0.0042378,0.00168807,4.914e-05,0.0263219,0.06666667,0.5,2,14,3,1,1,0.5,0
CLM00003,2026-08-13,42554,25,529,0.9545,3.1064,4,5,2.0,61.0,4.6,0.4413,1,Glass Damage,Third Party,Hatchback,Tata,Hospital,Pune,0,0.4413,SIMILAR,1,0.4505,0,0.4505,0.2316,0.8397,6,6,5,3,17,4,111,0.00109912,0.00111081,0.00308179,0.00327012,0.00049859,0.01695548,0.06666667,0.26666667,1,7,4,0,0,0.0,3
CLM00004,2026-08-31,160101,7,362,4.088,0.1095,6,16,2.0,27.0,3.9,0.4876,1,Theft,Third Party,MUV,Honda,Dealer,Mumbai,0,0.4876,SIMILAR,1,0.4174,0,0.4174,0.1085,0.6027,6,10,7,5,27,5,123,0.00104706,0.00172342,0.0049563,0.00414097,0.00136647,0.04573758,0.06666667,0.15555556,1,16,6,0,1,0.2,3
CLM00005,2026-06-21,104917,78,165,1.3251,0.7433,3,7,1.0,60.0,4.1,0.4177,0,Fire,Zero Dep,SUV,Honda,Hospital,Mumbai,0,0.4177,NO_MATCH,0,0.2166,0,0.2166,0.0374,0.6494,6,6,2,4,19,2,123,0.00118091,0.00120838,0.00339865,0.0041994,0.00131441,0.01025027,0.13333333,0.2,2,10,3,0,0,0.0,1
CLM00006,2026-07-13,146014,56,73,3.0053,0.862,4,17,6.0,27.0,4.3,0.5703,1,Theft,Third Party,SUV,Hyundai,Dealer,Mumbai,0,0.5703,SIMILAR,1,0.5555,0,0.5555,0.2799,0.8395,6,10,8,8,34,2,123,0.00106649,0.00172342,0.00593772,0.00232517,0.00136647,0.03362692,0.06666667,0.15555556,1,25,6,0,1,0.2,3
CLM00007,2026-04-16,114185,144,368,3.2649,1.2073,1,5,3.0,60.0,3.9,0.4062,1,Theft,Comprehensive,SUV,Maruti,Dealer,Ahmedabad,0,0.4062,SIMILAR,1,0.0923,0,0.0923,0.0379,0.2374,6,7,4,4,27,7,90,0.00109714,0.00134485,0.0049563,0.00360317,0.00117364,0.04573758,0.06666667,0.14285714,1,16,3,0,0,0.0,1
CLM00008,2026-01-21,246756,229,209,2.8317,0.3532,1,2,3.0,56.0,3.7,0.4551,1,Fire,Zero Dep,Hatchback,Honda,Dealer,Mumbai,0,0.4551,SIMILAR,1,0.5235,0,0.5235,0.5333,0.8396,6,7,5,9,21,4,123,0.0010743,0.00143988,0.00361305,0.00404383,0.00274541,0.02180532,0.13333333,0.04761905,1,13,1,0,0,0.0,0
CLM00009,2026-06-22,163589,77,287,2.6186,0.225,2,8,5.0,24.0,3.8,0.4852,1,Accident,Third Party,Sedan,Tata,Dealer,Delhi,0,0.4852,SIMILAR,1,0.1469,0,0.1469,0.0452,0.4441,6,5,3,2,15,3,110,0.0011518,0.00094884,0.00258951,0.00166279,0.00054629,0.01284642,0.06666667,0.2,2,11,2,1,0,0.0,0
CLM00010,2026-03-19,243287,172,100,12.9677,0.0508,3,6,2.0,22.0,3.1,0.4808,1,Accident,Third Party,Hatchback,Hyundai,Surveyor,Mumbai,1,0.4808,SIMILAR,1,0.5718,1,0.5718,0.3982,0.8395,6,7,3,3,21,3,123,0.00112505,0.0012312,0.00368452,0.00177428,0.00013471,0.02344063,0.06666667,0.28571429,1,14,6,0,2,0.4,3
