claim_id,claim_amount,claim_frequency,claim_age_days,amount_anomaly_score,claimant_degree,provider_degree,vehicle_degree,connected_claim_count,shared_entity_count,cluster_size,provider_centrality,fraud_label
CLM00001,132760,1,2,0.8557,2,5,7,4,6,11,0.4128,1
CLM00002,231421,1,6,0.9191,9,7,2,2,4,17,0.7521,0
CLM00003,42554,3,0,0.3557,8,8,9,25,7,9,0.2693,0
CLM00004,160101,3,2,0.2499,15,9,7,3,8,3,0.4075,0
CLM00005,104917,5,6,0.5705,1,5,9,19,2,17,0.763,0
CLM00006,146014,4,5,0.3247,5,5,10,14,8,7,0.8463,0
CLM00007,114185,8,1,0.7028,7,13,3,12,3,17,0.5375,0
CLM00008,246756,2,4,0.0374,18,8,1,1,8,20,0.6531,0
CLM00009,163589,7,0,0.3479,1,1,8,9,5,26,0.9992,0
CLM00010,243287,7,3,0.7477,7,10,9,10,1,12,0.7392,1
CLM00011,89309,1,5,0.0541,3,5,2,13,2,10,0.7251,0
CLM00012,236423,1,2,0.1496,14,4,10,17,6,23,0.6352,0
CLM00013,16984,4,1,0.7316,15,5,4,22,6,23,0.2106,0
CLM00014,91472,7,3,0.5047,11,1,12,5,1,40,0.4765,0
CLM00015,194676,4,3,0.148,1,11,3,14,8,27,0.5381,0
CLM00016,133009,6,0,0.7453,3,9,1,22,8,9,0.353,0
CLM00017,6673,7,2,0.5018,13,14,10,12,7,13,0.8391,0
CLM00018,102832,3,6,0.5593,1,2,8,12,4,30,0.0094,1
CLM00019,192021,8,3,0.1961,1,13,5,22,6,14,0.09,1
CLM00020,30248,4,1,0.7768,10,13,12,8,4,33,0.9673,0
CLM00021,109044,6,5,0.1125,9,8,12,23,4,2,0.1961,1
CLM00022,26133,7,3,0.1905,13,2,5,19,8,12,0.5518,0
CLM00023,251034,6,4,0.7697,19,11,11,20,3,6,0.5882,1
CLM00024,232571,3,2,0.6232,3,3,5,19,4,35,0.7289,0
CLM00025,147352,8,0,0.6854,7,14,11,1,5,37,0.8831,0
CLM00026,202198,3,6,0.7396,14,11,11,21,1,22,0.4325,0
CLM00027,107015,4,4,0.0137,9,2,11,17,8,33,0.3615,0
CLM00028,139927,2,2,0.0227,2,15,12,8,1,19,0.9184,1
CLM00029,123109,4,5,0.2038,15,6,1,13,4,23,0.0818,0
CLM00030,82431,5,4,0.7299,1,12,4,23,7,6,0.917,0
CLM00031,45442,3,5,0.0184,6,6,5,3,2,3,0.48,0
CLM00032,204582,1,2,0.284,1,10,11,11,5,17,0.1078,0
CLM00033,265285,5,0,0.9452,11,14,1,11,4,6,0.7757,1
CLM00034,209254,2,3,0.663,15,13,2,21,8,39,0.1248,1
CLM00035,75361,6,6,0.2925,2,7,6,23,2,10,0.062,0
CLM00036,25164,7,1,0.9766,15,1,5,20,7,6,0.1018,0
CLM00037,6774,2,2,0.5316,18,1,5,13,7,8,0.6173,0
CLM00038,220884,3,1,0.5607,8,14,10,22,1,31,0.3839,0
CLM00039,109396,1,0,0.3049,14,15,10,20,2,23,0.6509,0
CLM00040,211010,8,3,0.3468,1,8,9,11,4,8,0.1027,0
CLM00041,12055,6,2,0.2362,3,10,4,19,3,34,0.2563,0
CLM00042,41484,5,6,0.2577,16,12,10,15,3,17,0.1377,0
CLM00043,161744,7,6,0.9491,2,3,5,19,7,34,0.9597,0
CLM00044,160666,4,1,0.6569,12,5,10,18,3,11,0.4695,0
CLM00045,16612,2,5,0.9606,11,5,6,1,3,5,0.2374,0
CLM00046,63196,4,3,0.1527,18,14,1,14,6,14,0.9765,0
CLM00047,159295,5,4,0.5422,7,13,2,11,4,32,0.6948,0
CLM00048,27506,4,5,0.5414,20,12,6,19,6,21,0.4187,1
CLM00049,96304,4,6,0.6885,4,8,1,16,4,2,0.6388,0
CLM00050,148668,3,3,0.933,8,8,10,7,4,32,0.7346,1
CLM00051,126124,3,2,0.533,11,13,12,13,4,27,0.1842,0
CLM00052,236498,2,1,0.7271,12,1,2,12,1,37,0.1152,0
CLM00053,189486,6,3,0.443,15,4,11,19,6,4,0.9753,0
CLM00054,124944,5,1,0.1315,7,5,3,8,5,13,0.3398,1
CLM00055,97270,1,6,0.2669,8,3,4,1,3,18,0.9106,0
CLM00056,35896,4,4,0.6874,5,7,11,4,6,15,0.3051,0
CLM00057,155681,6,0,0.1341,12,13,6,22,3,35,0.9771,0
CLM00058,238227,8,5,0.184,14,15,12,3,2,11,0.8827,1
CLM00059,218703,7,3,0.1638,7,4,9,13,6,22,0.5995,0
CLM00060,177810,4,0,0.9254,8,15,1,25,4,36,0.2942,1
CLM00061,153281,7,1,0.7578,11,4,1,21,5,10,0.8515,0
CLM00062,101170,2,1,0.4899,16,4,12,3,8,6,0.1674,0
CLM00063,176356,6,6,0.4276,17,6,8,17,8,13,0.3218,0
CLM00064,35772,1,4,0.3129,17,12,8,23,8,32,0.2683,0
CLM00065,210743,1,4,0.4569,19,11,1,7,4,14,0.4521,0
CLM00066,89843,1,1,0.3956,13,4,5,14,7,38,0.1572,0
CLM00067,112897,1,4,0.7652,12,5,9,3,3,7,0.295,0
CLM00068,222181,1,1,0.398,12,4,10,2,8,34,0.6211,0
CLM00069,171101,5,6,0.1665,15,8,7,14,6,33,0.317,0
CLM00070,157556,5,4,0.517,1,3,8,8,5,6,0.3591,1
CLM00071,117628,3,3,0.0904,10,14,9,17,2,19,0.9266,0
CLM00072,153410,2,1,0.5464,4,2,6,2,4,23,0.1966,0
CLM00073,232145,7,3,0.0249,9,5,12,25,5,14,0.7056,1
CLM00074,99485,8,4,0.8825,18,15,5,1,5,20,0.8223,0
CLM00075,66379,2,2,0.6486,13,7,10,25,1,32,0.6541,0
CLM00076,64294,3,5,0.1142,5,14,7,8,4,15,0.4744,0
CLM00077,146850,8,5,0.5238,19,13,9,25,8,31,0.3407,1
CLM00078,202435,7,5,0.9498,11,14,4,14,7,15,0.4387,0
CLM00079,60851,7,4,0.7683,18,1,6,5,3,21,0.9434,0
CLM00080,202249,6,4,0.1621,16,13,11,12,6,16,0.4191,1
CLM00081,70055,3,1,0.4196,13,13,12,18,5,22,0.587,0
CLM00082,138568,5,5,0.6265,2,15,3,5,6,38,0.6298,0
CLM00083,68198,2,1,0.6226,20,10,7,13,4,27,0.0637,0
CLM00084,230657,5,0,0.8554,7,8,2,11,8,21,0.0932,0
CLM00085,130440,1,4,0.2169,18,3,1,23,8,3,0.1867,1
CLM00086,188975,8,3,0.0794,13,5,4,8,5,35,0.07,0
CLM00087,58267,1,1,0.6198,12,9,1,6,6,28,0.3911,0
CLM00088,226896,4,0,0.0551,5,9,7,16,2,26,0.9551,0
CLM00089,19425,6,0,0.667,7,3,4,10,7,32,0.1588,0
CLM00090,95886,5,2,0.1089,10,10,4,17,8,19,0.2017,0
CLM00091,240902,3,1,0.6111,15,2,7,20,4,35,0.3289,1
CLM00092,19533,3,3,0.9315,16,8,8,19,1,7,0.2879,0
CLM00093,155447,2,6,0.3686,15,6,12,23,5,27,0.613,0
CLM00094,8221,7,6,0.8433,6,7,4,6,7,31,0.3847,0
CLM00095,244585,2,2,0.122,6,12,10,4,7,4,0.2397,0
CLM00096,251607,5,2,0.5246,6,5,11,18,5,6,0.698,1
CLM00097,126921,4,4,0.5714,7,15,8,14,2,25,0.0765,0
CLM00098,152798,2,3,0.9339,17,13,6,14,8,12,0.2528,0
CLM00099,197010,5,3,0.2597,2,8,1,3,8,26,0.3437,0
CLM00100,171708,6,1,0.4964,7,7,1,1,5,9,0.7091,0
CLM00101,67434,8,3,0.2327,11,11,12,15,8,31,0.0682,0
CLM00102,226643,5,1,0.024,8,12,8,5,8,19,0.8416,0
CLM00103,219948,2,5,0.999,1,10,2,6,5,9,0.5347,0
CLM00104,87577,7,0,0.5604,6,2,11,25,1,19,0.1535,0
CLM00105,58139,4,0,0.69,6,4,12,2,4,30,0.6967,1
CLM00106,36650,5,6,0.3003,17,11,11,23,2,26,0.6903,0
CLM00107,216706,6,6,0.6858,2,10,1,2,7,14,0.9288,0
CLM00108,98255,6,3,0.9601,8,4,2,1,7,3,0.9893,0
CLM00109,150739,3,1,0.9223,7,11,11,3,4,8,0.7969,0
CLM00110,222677,8,3,0.1358,6,12,3,2,7,34,0.1077,0
CLM00111,139657,3,5,0.8959,11,9,11,7,4,36,0.3951,1
CLM00112,217044,8,6,0.056,4,4,4,4,6,22,0.1736,0
CLM00113,12728,5,4,0.5552,11,1,7,7,8,16,0.066,0
CLM00114,236584,1,1,0.3317,9,11,10,12,1,6,0.8855,1
CLM00115,229899,6,0,0.8407,10,13,10,16,2,36,0.7913,1
CLM00116,99139,6,3,0.8424,19,3,5,4,6,26,0.6779,0
CLM00117,11832,7,1,0.8646,5,6,3,21,6,32,0.0675,0
CLM00118,206023,5,5,0.0316,20,15,10,15,7,34,0.6406,0
CLM00119,212418,7,0,0.3716,17,10,12,1,4,3,0.6163,0
CLM00120,160325,5,1,0.175,4,5,4,24,7,17,0.6198,0
CLM00121,217441,6,6,0.9134,5,6,8,10,4,11,0.3757,0
CLM00122,162722,8,4,0.905,2,4,12,20,8,23,0.1343,0
CLM00123,51520,3,1,0.7324,2,9,7,21,5,3,0.229,0
CLM00124,142965,5,6,0.7695,11,6,4,7,1,17,0.8015,0
CLM00125,40769,2,6,0.9927,8,10,7,17,6,13,0.4424,0
CLM00126,238203,4,5,0.3876,3,14,8,3,4,5,0.6344,0
CLM00127,82205,2,0,0.6871,7,3,2,6,4,17,0.5074,1
CLM00128,217023,2,2,0.1031,15,5,3,24,4,17,0.424,0
CLM00129,67389,5,0,0.6389,8,5,5,19,8,14,0.2719,0
CLM00130,59967,4,2,0.2866,16,2,6,13,7,12,0.4707,0
CLM00131,197042,6,6,0.1177,17,10,12,14,3,32,0.0198,0
CLM00132,222266,3,1,0.0153,14,14,2,25,5,40,0.5372,0
CLM00133,88549,2,1,0.5494,6,5,7,15,5,31,0.2832,0
