claim_id,claim_degree,claimant_degree,policy_degree,vehicle_degree,provider_degree,invoice_degree,location_degree,claim_pagerank,claimant_pagerank,provider_pagerank,claim_betweenness,claimant_betweenness,provider_betweenness,claim_clustering,claimant_clustering,common_neighbors,provider_claim_count,claimant_claim_count,repeated_claimant_provider,fraud_neighbor_count,fraud_neighbor_ratio,suspicious_neighbor_count
CLM00001,6,9,2,6,21,4,90,0.0011165,0.00167767,0.00368452,0.00297895,0.00258639,0.02344063,0.06666667,0.11111111,1,14,4,0,1,0.333333,3
CLM00002,6,4,3,4,24,2,91,0.00115517,0.00078061,0.0042378,0.00168807,4.914e-05,0.0263219,0.06666667,0.5,2,14,3,1,1,0.5,0
CLM00003,6,6,5,3,17,4,111,0.00109912,0.00111081,0.00308179,0.00327012,0.00049859,0.01695548,0.06666667,0.26666667,1,7,4,0,0,0.0,3
CLM00004,6,10,7,5,27,5,123,0.00104706,0.00172342,0.0049563,0.00414097,0.00136647,0.04573758,0.06666667,0.15555556,1,16,6,0,1,0.2,3
CLM00005,6,6,2,4,19,2,123,0.00118091,0.00120838,0.00339865,0.0041994,0.00131441,0.01025027,0.13333333,0.2,2,10,3,0,0,0.0,1
CLM00006,6,10,8,8,34,2,123,0.00106649,0.00172342,0.00593772,0.00232517,0.00136647,0.03362692,0.06666667,0.15555556,1,25,6,0,1,0.2,3
CLM00007,6,7,4,4,27,7,90,0.00109714,0.00134485,0.0049563,0.00360317,0.00117364,0.04573758,0.06666667,0.14285714,1,16,3,0,0,0.0,1
CLM00008,6,7,5,9,21,4,123,0.0010743,0.00143988,0.00361305,0.00404383,0.00274541,0.02180532,0.13333333,0.04761905,1,13,1,0,0,0.0,0
CLM00009,6,5,3,2,15,3,110,0.0011518,0.00094884,0.00258951,0.00166279,0.00054629,0.01284642,0.06666667,0.2,2,11,2,1,0,0.0,0
CLM00010,6,7,3,3,21,3,123,0.00112505,0.0012312,0.00368452,0.00177428,0.00013471,0.02344063,0.06666667,0.28571429,1,14,6,0,2,0.4,3
CLM00011,6,5,4,9,34,2,110,0.0010976,0.00093767,0.00593772,0.00143327,0.00080498,0.03362692,0.06666667,0.1,1,25,1,0,0,0.0,0
CLM00012,6,5,7,4,15,5,110,0.0010626,0.00094884,0.00258951,0.00251913,0.00054629,0.01284642,0.06666667,0.2,2,11,2,1,0,0.0,0
CLM00013,6,8,5,9,19,5,91,0.00108949,0.00168807,0.00339865,0.00290002,0.00386066,0.01025027,0.06666667,0.03571429,1,10,1,0,0,0.0,0
CLM00014,6,9,3,5,21,2,110,0.00113252,0.00160677,0.00398564,0.00192119,0.00132751,0.0212906,0.13333333,0.13888889,2,10,4,0,1,0.333333,3
CLM00015,6,7,2,4,20,3,90,0.0011398,0.00130467,0.00353992,0.00255006,0.00109231,0.01600983,0.06666667,0.14285714,1,12,3,0,0,0.0,2
CLM00016,6,5,3,4,25,3,90,0.00111901,0.00094222,0.00441865,0.00311642,0.00034508,0.01796617,0.06666667,0.3,1,13,3,0,0,0.0,2
CLM00017,6,8,5,4,27,2,123,0.00111611,0.00140925,0.00481519,0.00438534,0.00393846,0.03207056,0.06666667,0.14285714,1,16,4,0,0,0.0,2
CLM00018,6,6,8,6,21,2,123,0.00109184,0.00108376,0.00368452,0.00238867,0.00014474,0.02344063,0.06666667,0.33333333,1,14,5,0,0,0.0,3
CLM00019,6,11,5,4,16,3,123,0.001113,0.00216585,0.00294923,0.00169759,0.00490743,0.01383975,0.06666667,0.09090909,1,9,5,0,0,0.0,3
CLM00020,6,9,4,3,25,6,110,0.00107497,0.00160677,0.00402168,0.00233771,0.00132751,0.02103591,0.13333333,0.13888889,1,16,4,0,1,0.333333,2
CLM00021,6,6,3,6,19,3,110,0.00110503,0.00109627,0.00339865,0.0040111,0.00076964,0.01025027,0.06666667,0.2,1,10,3,0,1,0.5,2
CLM00022,6,8,5,8,27,3,110,0.00106095,0.00138458,0.00481519,0.00170714,0.00105367,0.03207056,0.06666667,0.17857143,1,16,5,0,0,0.0,4
CLM00023,6,4,4,5,24,3,91,0.00111333,0.00078061,0.0042378,0.0013567,4.914e-05,0.0263219,0.06666667,0.5,2,14,3,1,0,0.0,0
CLM00024,6,7,5,2,17,3,111,0.00114054,0.00133045,0.00308179,0.00301676,0.00148898,0.01695548,0.06666667,0.14285714,1,7,3,0,0,0.0,2
CLM00025,6,7,4,4,27,6,90,0.00111049,0.00151114,0.00481519,0.00155553,0.00819494,0.03207056,0.13333333,0.0952381,2,16,2,0,0,0.0,1
CLM00026,6,5,4,4,21,4,111,0.00108642,0.00092495,0.00368452,0.00197179,0.00073873,0.02344063,0.06666667,0.2,1,14,2,0,0,0.0,1
CLM00027,6,5,3,6,26,2,111,0.00113598,0.00093702,0.00490412,0.00191454,0.00031154,0.01762278,0.06666667,0.3,1,9,3,0,0,0.0,2
CLM00028,6,7,6,5,26,5,111,0.00105967,0.00124541,0.00486327,0.0048519,0.00085746,0.03336735,0.06666667,0.23809524,1,11,5,0,0,0.0,3
CLM00029,6,10,3,4,24,3,123,0.00113334,0.0017409,0.00463026,0.00453332,0.00218976,0.03104914,0.06666667,0.13333333,1,9,6,0,0,0.0,3
CLM00030,6,9,2,6,20,3,90,0.00112489,0.0015917,0.00344607,0.00173181,0.00162943,0.01678725,0.13333333,0.11111111,2,14,4,0,0,0.0,0
CLM00031,6,7,5,6,22,3,90,0.00112319,0.00151114,0.00397522,0.00316721,0.00819494,0.02019259,0.06666667,0.0952381,1,13,2,0,0,0.0,1
CLM00032,6,11,3,8,21,3,111,0.00108802,0.00185403,0.00398564,0.00303178,0.00395972,0.0212906,0.06666667,0.09090909,1,10,5,0,1,0.25,3
