provider_id,provider_total_claims,provider_avg_amount,unique_customers,duplicate_rate,suspicious_claim_rate
PRV001,9,148079.22,9,0.0603,0.1219
PRV002,16,140035.38,16,0.2606,0.0474
PRV003,14,111069.93,14,0.0451,0.2777
PRV004,16,145151.81,16,0.2408,0.123
PRV005,13,128493.54,13,0.0734,0.3924
PRV006,16,141499.38,15,0.1487,0.3052
PRV007,14,154467.29,13,0.0391,0.0075
PRV008,7,150631.57,7,0.1695,0.1725
PRV009,11,164523.91,10,0.0687,0.0131
PRV010,10,120526.2,9,0.2309,0.2373
PRV011,13,136894.77,13,0.1642,0.3634
PRV012,10,122290.7,9,0.0151,0.1207
PRV013,25,111017.72,24,0.0036,0.0386
PRV014,14,146483.64,14,0.0433,0.2407
PRV015,12,93311.33,12,0.2057,0.08
PRV016,14,152653.86,13,0.2347,0.0117
PRV017,11,168832.64,11,0.0509,0.2985
PRV018,14,192807.36,11,0.0971,0.2319
PRV019,9,127965.33,8,0.1233,0.3421
PRV020,11,123754.45,10,0.2733,0.2452
PRV021,9,123870.67,8,0.1767,0.0273
PRV022,16,103716.12,15,0.2869,0.3053
PRV023,13,129154.54,11,0.1851,0.2863
PRV024,11,169276.45,10,0.3375,0.0687
PRV025,12,125816.58,11,0.2639,0.0017
