source,target,relationship,weight
location:loc001,location:surat,WITHIN_TERRITORY,1.0
location:loc002,location:ahmedabad,WITHIN_TERRITORY,1.0
location:loc003,location:delhi,WITHIN_TERRITORY,1.0
location:loc004,location:ahmedabad,WITHIN_TERRITORY,1.0
location:loc005,location:pune,WITHIN_TERRITORY,1.0
location:loc006,location:surat,WITHIN_TERRITORY,1.0
location:loc007,location:ahmedabad,WITHIN_TERRITORY,1.0
location:loc008,location:pune,WITHIN_TERRITORY,1.0
location:loc009,location:surat,WITHIN_TERRITORY,1.0
location:loc010,location:mumbai,WITHIN_TERRITORY,1.0
location:loc011,location:delhi,WITHIN_TERRITORY,1.0
location:loc012,location:mumbai,WITHIN_TERRITORY,1.0
location:loc013,location:delhi,WITHIN_TERRITORY,1.0
location:loc014,location:pune,WITHIN_TERRITORY,1.0
location:loc015,location:ahmedabad,WITHIN_TERRITORY,1.0
location:loc016,location:pune,WITHIN_TERRITORY,1.0
location:loc017,location:pune,WITHIN_TERRITORY,1.0
location:loc018,location:surat,WITHIN_TERRITORY,1.0
location:loc019,location:surat,WITHIN_TERRITORY,1.0
location:loc020,location:ahmedabad,WITHIN_TERRITORY,1.0
location:loc021,location:delhi,WITHIN_TERRITORY,1.0
location:loc022,location:mumbai,WITHIN_TERRITORY,1.0
location:loc023,location:ahmedabad,WITHIN_TERRITORY,1.0
location:loc024,location:delhi,WITHIN_TERRITORY,1.0
location:loc025,location:mumbai,WITHIN_TERRITORY,1.0
location:loc026,location:delhi,WITHIN_TERRITORY,1.0
location:loc027,location:delhi,WITHIN_TERRITORY,1.0
location:loc028,location:surat,WITHIN_TERRITORY,1.0
location:loc029,location:ahmedabad,WITHIN_TERRITORY,1.0
location:loc030,location:mumbai,WITHIN_TERRITORY,1.0
location:loc031,location:mumbai,WITHIN_TERRITORY,1.0
location:loc032,location:mumbai,WITHIN_TERRITORY,1.0
location:loc033,location:mumbai,WITHIN_TERRITORY,1.0
location:loc034,location:surat,WITHIN_TERRITORY,1.0
location:loc035,location:delhi,WITHIN_TERRITORY,1.0
location:loc036,location:delhi,WITHIN_TERRITORY,1.0
location:loc037,location:pune,WITHIN_TERRITORY,1.0
location:loc038,location:mumbai,WITHIN_TERRITORY,1.0
location:loc039,location:ahmedabad,WITHIN_TERRITORY,1.0
location:loc040,location:surat,WITHIN_TERRITORY,1.0
location:loc041,location:mumbai,WITHIN_TERRITORY,1.0
location:loc042,location:mumbai,WITHIN_TERRITORY,1.0
location:loc043,location:mumbai,WITHIN_TERRITORY,1.0
location:loc044,location:mumbai,WITHIN_TERRITORY,1.0
location:loc045,location:surat,WITHIN_TERRITORY,1.0
location:loc046,location:pune,WITHIN_TERRITORY,1.0
location:loc047,location:delhi,WITHIN_TERRITORY,1.0
location:loc048,location:mumbai,WITHIN_TERRITORY,1.0
location:loc049,location:surat,WITHIN_TERRITORY,1.0
location:loc050,location:mumbai,WITHIN_TERRITORY,1.0
location:loc051,location:surat,WITHIN_TERRITORY,1.0
location:loc052,location:delhi,WITHIN_TERRITORY,1.0
location:loc053,location:ahmedabad,WITHIN_TERRITORY,1.0
location:loc054,location:ahmedabad,WITHIN_TERRITORY,1.0
location:loc055,location:surat,WITHIN_TERRITORY,1.0
location:loc056,location:pune,WITHIN_TERRITORY,1.0
location:loc057,location:delhi,WITHIN_TERRITORY,1.0
location:loc058,location:surat,WITHIN_TERRITORY,1.0
location:loc059,location:mumbai,WITHIN_TERRITORY,1.0
location:loc060,location:delhi,WITHIN_TERRITORY,1.0
claimant:CLT0032,policy:POL0001,OWNS,1.0
claimant:CLT0054,policy:POL0002,OWNS,1.0
claimant:CLT0092,policy:POL0003,OWNS,1.0
claimant:CLT0032,policy:POL0004,OWNS,1.0
claimant:CLT0115,policy:POL0005,OWNS,1.0
claimant:CLT0029,policy:POL0006,OWNS,1.0
claimant:CLT0060,policy:POL0007,OWNS,1.0
claimant:CLT0059,policy:POL0008,OWNS,1.0
claimant:CLT0072,policy:POL0009,OWNS,1.0
claimant:CLT0055,policy:POL0010,OWNS,1.0
claimant:CLT0115,policy:POL0011,OWNS,1.0
claimant:CLT0034,policy:POL0012,OWNS,1.0
claimant:CLT0099,policy:POL0013,OWNS,1.0
claimant:CLT0036,policy:POL0014,OWNS,1.0
claimant:CLT0031,policy:POL0015,OWNS,1.0
claimant:CLT0011,policy:POL0016,OWNS,1.0
claimant:CLT0089,policy:POL0017,OWNS,1.0
claimant:CLT0054,policy:POL0018,OWNS,1.0
claimant:CLT0054,policy:POL0019,OWNS,1.0
claimant:CLT0116,policy:POL0020,OWNS,1.0
claimant:CLT0110,policy:POL0021,OWNS,1.0
claimant:CLT0062,policy:POL0022,OWNS,1.0
claimant:CLT0097,policy:POL0023,OWNS,1.0
claimant:CLT0096,policy:POL0024,OWNS,1.0
claimant:CLT0063,policy:POL0025,OWNS,1.0
claimant:CLT0004,policy:POL0026,OWNS,1.0
claimant:CLT0093,policy:POL0027,OWNS,1.0
claimant:CLT0080,policy:POL0028,OWNS,1.0
claimant:CLT0085,policy:POL0029,OWNS,1.0
claimant:CLT0018,policy:POL0030,OWNS,1.0
claimant:CLT0034,policy:POL0031,OWNS,1.0
claimant:CLT0042,policy:POL0032,OWNS,1.0
claimant:CLT0097,policy:POL0033,OWNS,1.0
claimant:CLT0107,policy:POL0034,OWNS,1.0
claimant:CLT0007,policy:POL0035,OWNS,1.0
claimant:CLT0100,policy:POL0036,OWNS,1.0
claimant:CLT0032,policy:POL0037,OWNS,1.0
claimant:CLT0031,policy:POL0038,OWNS,1.0
claimant:CLT0073,policy:POL0039,OWNS,1.0
claimant:CLT0099,policy:POL0040,OWNS,1.0
claimant:CLT0100,policy:POL0041,OWNS,1.0
claimant:CLT0075,policy:POL0042,OWNS,1.0
claimant:CLT0051,policy:POL0043,OWNS,1.0
claimant:CLT0076,policy:POL0044,OWNS,1.0
claimant:CLT0014,policy:POL0045,OWNS,1.0
claimant:CLT0102,policy:POL0046,OWNS,1.0
claimant:CLT0069,policy:POL0047,OWNS,1.0
claimant:CLT0065,policy:POL0048,OWNS,1.0
claimant:CLT0106,policy:POL0049,OWNS,1.0
claimant:CLT0082,policy:POL0050,OWNS,1.0
claimant:CLT0056,policy:POL0051,OWNS,1.0
claimant:CLT0079,policy:POL0052,OWNS,1.0
claimant:CLT0060,policy:POL0053,OWNS,1.0
claimant:CLT0042,policy:POL0054,OWNS,1.0
claimant:CLT0113,policy:POL0055,OWNS,1.0
claimant:CLT0079,policy:POL0056,OWNS,1.0
claimant:CLT0064,policy:POL0057,OWNS,1.0
