node_id,node_type,source_id,attributes
claim:CLM00001,Claim,CLM00001,"{""claim_amount"": 132760, ""claim_date"": ""2026-01-26"", ""claim_type"": ""Theft"", ""description"": ""Claim description 1"", ""fraud_label"": 1, ""status"": ""Open""}"
claim:CLM00002,Claim,CLM00002,"{""claim_amount"": 231421, ""claim_date"": ""2026-07-13"", ""claim_type"": ""Theft"", ""description"": ""Claim description 2"", ""fraud_label"": 0, ""status"": ""Approved""}"
claim:CLM00003,Claim,CLM00003,"{""claim_amount"": 42554, ""claim_date"": ""2026-08-13"", ""claim_type"": ""Glass Damage"", ""description"": ""Claim description 3"", ""fraud_label"": 0, ""status"": ""Under Review""}"
claim:CLM00004,Claim,CLM00004,"{""claim_amount"": 160101, ""claim_date"": ""2026-08-31"", ""claim_type"": ""Theft"", ""description"": ""Claim description 4"", ""fraud_label"": 0, ""status"": ""Rejected""}"
claim:CLM00005,Claim,CLM00005,"{""claim_amount"": 104917, ""claim_date"": ""2026-06-21"", ""claim_type"": ""Fire"", ""description"": ""Claim description 5"", ""fraud_label"": 0, ""status"": ""Rejected""}"
claim:CLM00006,Claim,CLM00006,"{""claim_amount"": 146014, ""claim_date"": ""2026-07-13"", ""claim_type"": ""Theft"", ""description"": ""Claim description 6"", ""fraud_label"": 0, ""status"": ""Approved""}"
claim:CLM00007,Claim,CLM00007,"{""claim_amount"": 114185, ""claim_date"": ""2026-04-16"", ""claim_type"": ""Theft"", ""description"": ""Claim description 7"", ""fraud_label"": 0, ""status"": ""Rejected""}"
claim:CLM00008,Claim,CLM00008,"{""claim_amount"": 246756, ""claim_date"": ""2026-01-21"", ""claim_type"": ""Fire"", ""description"": ""Claim description 8"", ""fraud_label"": 0, ""status"": ""Open""}"
claim:CLM00009,Claim,CLM00009,"{""claim_amount"": 163589, ""claim_date"": ""2026-06-22"", ""claim_type"": ""Accident"", ""description"": ""Claim description 9"", ""fraud_label"": 0, ""status"": ""Under Review""}"
claim:CLM00010,Claim,CLM00010,"{""claim_amount"": 243287, ""claim_date"": ""2026-03-19"", ""claim_type"": ""Accident"", ""description"": ""Claim description 10"", ""fraud_label"": 1, ""status"": ""Rejected""}"
claim:CLM00011,Claim,CLM00011,"{""claim_amount"": 89309, ""claim_date"": ""2026-05-22"", ""claim_type"": ""Natural Disaster"", ""description"": ""Claim description 11"", ""fraud_label"": 0, ""status"": ""Rejected""}"
claim:CLM00012,Claim,CLM00012,"{""claim_amount"": 236423, ""claim_date"": ""2026-05-12"", ""claim_type"": ""Accident"", ""description"": ""Claim description 12"", ""fraud_label"": 0, ""status"": ""Rejected""}"
claim:CLM00013,Claim,CLM00013,"{""claim_amount"": 16984, ""claim_date"": ""2026-04-16"", ""claim_type"": ""Theft"", ""description"": ""Claim description 13"", ""fraud_label"": 0, ""status"": ""Under Review""}"
claim:CLM00014,Claim,CLM00014,"{""claim_amount"": 91472, ""claim_date"": ""2026-02-20"", ""claim_type"": ""Glass Damage"", ""description"": ""Claim description 14"", ""fraud_label"": 0, ""status"": ""Under Review""}"
claim:CLM00015,Claim,CLM00015,"{""claim_amount"": 194676, ""claim_date"": ""2026-05-06"", ""claim_type"": ""Natural Disaster"", ""description"": ""Claim description 15"", ""fraud_label"": 0, ""status"": ""Rejected""}"
claim:CLM00016,Claim,CLM00016,"{""claim_amount"": 133009, ""claim_date"": ""2026-05-20"", ""claim_type"": ""Glass Damage"", ""description"": ""Claim description 16"", ""fraud_label"": 0, ""status"": ""Open""}"
claim:CLM00017,Claim,CLM00017,"{""claim_amount"": 6673, ""claim_date"": ""2026-07-15"", ""claim_type"": ""Theft"", ""description"": ""Claim description 17"", ""fraud_label"": 0, ""status"": ""Open""}"
claim:CLM00018,Claim,CLM00018,"{""claim_amount"": 102832, ""claim_date"": ""2026-04-27"", ""claim_type"": ""Glass Damage"", ""description"": ""Claim description 18"", ""fraud_label"": 1, ""status"": ""Rejected""}"
claim:CLM00019,Claim,CLM00019,"{""claim_amount"": 192021, ""claim_date"": ""2026-05-22"", ""claim_type"": ""Glass Damage"", ""description"": ""Claim description 19"", ""fraud_label"": 1, ""status"": ""Approved""}"
claim:CLM00020,Claim,CLM00020,"{""claim_amount"": 30248, ""claim_date"": ""2026-08-24"", ""claim_type"": ""Theft"", ""description"": ""Claim description 20"", ""fraud_label"": 0, ""status"": ""Under Review""}"
claim:CLM00021,Claim,CLM00021,"{""claim_amount"": 109044, ""claim_date"": ""2026-07-23"", ""claim_type"": ""Natural Disaster"", ""description"": ""Claim description 21"", ""fraud_label"": 1, ""status"": ""Under Review""}"
claim:CLM00022,Claim,CLM00022,"{""claim_amount"": 26133, ""claim_date"": ""2026-08-06"", ""claim_type"": ""Accident"", ""description"": ""Claim description 22"", ""fraud_label"": 0, ""status"": ""Open""}"
claim:CLM00023,Claim,CLM00023,"{""claim_amount"": 251034, ""claim_date"": ""2026-01-15"", ""claim_type"": ""Natural Disaster"", ""description"": ""Claim description 23"", ""fraud_label"": 1, ""status"": ""Approved""}"
claim:CLM00024,Claim,CLM00024,"{""claim_amount"": 232571, ""claim_date"": ""2026-08-19"", ""claim_type"": ""Glass Damage"", ""description"": ""Claim description 24"", ""fraud_label"": 0, ""status"": ""Rejected""}"
claim:CLM00025,Claim,CLM00025,"{""claim_amount"": 147352, ""claim_date"": ""2026-08-19"", ""claim_type"": ""Accident"", ""description"": ""Claim description 25"", ""fraud_label"": 0, ""status"": ""Under Review""}"
claim:CLM00026,Claim,CLM00026,"{""claim_amount"": 202198, ""claim_date"": ""2026-02-06"", ""claim_type"": ""Natural Disaster"", ""description"": ""Claim description 26"", ""fraud_label"": 0, ""status"": ""Open""}"
claim:CLM00027,Claim,CLM00027,"{""claim_amount"": 107015, ""claim_date"": ""2026-08-06"", ""claim_type"": ""Glass Damage"", ""description"": ""Claim description 27"", ""fraud_label"": 0, ""status"": ""Approved""}"
claim:CLM00028,Claim,CLM00028,"{""claim_amount"": 139927, ""claim_date"": ""2026-09-07"", ""claim_type"": ""Fire"", ""description"": ""Claim description 28"", ""fraud_label"": 1, ""status"": ""Rejected""}"
claim:CLM00029,Claim,CLM00029,"{""claim_amount"": 123109, ""claim_date"": ""2026-07-20"", ""claim_type"": ""Fire"", ""description"": ""Claim description 29"", ""fraud_label"": 0, ""status"": ""Rejected""}"
claim:CLM00030,Claim,CLM00030,"{""claim_amount"": 82431, ""claim_date"": ""2026-06-08"", ""claim_type"": ""Accident"", ""description"": ""Claim description 30"", ""fraud_label"": 0, ""status"": ""Open""}"
claim:CLM00031,Claim,CLM00031,"{""claim_amount"": 45442, ""claim_date"": ""2026-06-12"", ""claim_type"": ""Fire"", ""description"": ""Claim description 31"", ""fraud_label"": 0, ""status"": ""Approved""}"
claim:CLM00032,Claim,CLM00032,"{""claim_amount"": 204582, ""claim_date"": ""2026-04-03"", ""claim_type"": ""Theft"", ""description"": ""Claim description 32"", ""fraud_label"": 0, ""status"": ""Open""}"
claim:CLM00033,Claim,CLM00033,"{""claim_amount"": 265285, ""claim_date"": ""2026-05-12"", ""claim_type"": ""Accident"", ""description"": ""Claim description 33"", ""fraud_label"": 1, ""status"": ""Approved""}"
claim:CLM00034,Claim,CLM00034,"{""claim_amount"": 209254, ""claim_date"": ""2026-04-10"", ""claim_type"": ""Theft"", ""description"": ""Claim description 34"", ""fraud_label"": 1, ""status"": ""Under Review""}"
claim:CLM00035,Claim,CLM00035,"{""claim_amount"": 75361, ""claim_date"": ""2026-03-19"", ""claim_type"": ""Accident"", ""description"": ""Claim description 35"", ""fraud_label"": 0, ""status"": ""Under Review""}"
claim:CLM00036,Claim,CLM00036,"{""claim_amount"": 25164, ""claim_date"": ""2026-07-20"", ""claim_type"": ""Theft"", ""description"": ""Claim description 36"", ""fraud_label"": 0, ""status"": ""Rejected""}"
claim:CLM00037,Claim,CLM00037,"{""claim_amount"": 6774, ""claim_date"": ""2026-03-19"", ""claim_type"": ""Fire"", ""description"": ""Claim description 37"", ""fraud_label"": 0, ""status"": ""Rejected""}"
claim:CLM00038,Claim,CLM00038,"{""claim_amount"": 220884, ""claim_date"": ""2026-07-28"", ""claim_type"": ""Glass Damage"", ""description"": ""Claim description 38"", ""fraud_label"": 0, ""status"": ""Under Review""}"
claim:CLM00039,Claim,CLM00039,"{""claim_amount"": 109396, ""claim_date"": ""2026-02-15"", ""claim_type"": ""Fire"", ""description"": ""Claim description 39"", ""fraud_label"": 0, ""status"": ""Rejected""}"
claim:CLM00040,Claim,CLM00040,"{""claim_amount"": 211010, ""claim_date"": ""2026-07-29"", ""claim_type"": ""Accident"", ""description"": ""Claim description 40"", ""fraud_label"": 0, ""status"": ""Under Review""}"
claim:CLM00041,Claim,CLM00041,"{""claim_amount"": 12055, ""claim_date"": ""2026-05-21"", ""claim_type"": ""Natural Disaster"", ""description"": ""Claim description 41"", ""fraud_label"": 0, ""status"": ""Under Review""}"
claim:CLM00042,Claim,CLM00042,"{""claim_amount"": 41484, ""claim_date"": ""2026-05-08"", ""claim_type"": ""Theft"", ""description"": ""Claim description 42"", ""fraud_label"": 0, ""status"": ""Approved""}"
claim:CLM00043,Claim,CLM00043,"{""claim_amount"": 161744, ""claim_date"": ""2026-04-25"", ""claim_type"": ""Natural Disaster"", ""description"": ""Claim description 43"", ""fraud_label"": 0, ""status"": ""Rejected""}"
claim:CLM00044,Claim,CLM00044,"{""claim_amount"": 160666, ""claim_date"": ""2026-05-18"", ""claim_type"": ""Accident"", ""description"": ""Claim description 44"", ""fraud_label"": 0, ""status"": ""Open""}"
claim:CLM00045,Claim,CLM00045,"{""claim_amount"": 16612, ""claim_date"": ""2026-06-06"", ""claim_type"": ""Natural Disaster"", ""description"": ""Claim description 45"", ""fraud_label"": 0, ""status"": ""Approved""}"
claim:CLM00046,Claim,CLM00046,"{""claim_amount"": 63196, ""claim_date"": ""2026-03-08"", ""claim_type"": ""Glass Damage"", ""description"": ""Claim description 46"", ""fraud_label"": 0, ""status"": ""Under Review""}"
claim:CLM00047,Claim,CLM00047,"{""claim_amount"": 159295, ""claim_date"": ""2026-06-23"", ""claim_type"": ""Theft"", ""description"": ""Claim description 47"", ""fraud_label"": 0, ""status"": ""Approved""}"
claim:CLM00048,Claim,CLM00048,"{""claim_amount"": 27506, ""claim_date"": ""2026-08-24"", ""claim_type"": ""Theft"", ""description"": ""Claim description 48"", ""fraud_label"": 1, ""status"": ""Approved""}"
claim:CLM00049,Claim,CLM00049,"{""claim_amount"": 96304, ""claim_date"": ""2026-05-04"", ""claim_type"": ""Natural Disaster"", ""description"": ""Claim description 49"", ""fraud_label"": 0, ""status"": ""Rejected""}"
claim:CLM00050,Claim,CLM00050,"{""claim_amount"": 148668, ""claim_date"": ""2026-07-01"", ""claim_type"": ""Theft"", ""description"": ""Claim description 50"", ""fraud_label"": 1, ""status"": ""Under Review""}"
claim:CLM00051,Claim,CLM00051,"{""claim_amount"": 126124, ""claim_date"": ""2026-04-20"", ""claim_type"": ""Natural Disaster"", ""description"": ""Claim description 51"", ""fraud_label"": 0, ""status"": ""Under Review""}"
claim:CLM00052,Claim,CLM00052,"{""claim_amount"": 236498, ""claim_date"": ""2026-06-07"", ""claim_type"": ""Glass Damage"", ""description"": ""Claim description 52"", ""fraud_label"": 0, ""status"": ""Rejected""}"
claim:CLM00053,Claim,CLM00053,"{""claim_amount"": 189486, ""claim_date"": ""2026-07-12"", ""claim_type"": ""Accident"", ""description"": ""Claim description 53"", ""fraud_label"": 0, ""status"": ""Open""}"
