claimant_id,name,age,city,gender,marital_status
CLT0001,Customer 0001,61.0,Mumbai,M,Married
CLT0002,Customer 0002,36.0,Pune,M,Single
CLT0003,Customer 0003,64.0,Delhi,M,Married
CLT0004,Customer 0004,23.0,Mumbai,M,Single
CLT0005,Customer 0005,35.0,Delhi,M,Single
CLT0006,Customer 0006,66.0,Delhi,F,Single
CLT0007,Customer 0007,49.0,Delhi,F,Single
CLT0008,Customer 0008,69.0,Pune,F,Married
CLT0009,Customer 0009,38.0,Pune,M,Married
CLT0010,Customer 0010,27.0,Mumbai,F,Single
CLT0011,Customer 0011,43.0,Ahmedabad,F,Single
CLT0012,Customer 0012,67.0,Surat,M,Married
CLT0013,Customer 0013,26.0,Delhi,F,Married
CLT0014,Customer 0014,57.0,Pune,M,Single
CLT0015,Customer 0015,63.0,Pune,F,Single
CLT0016,Customer 0016,35.0,Mumbai,F,Married
CLT0017,Customer 0017,50.0,Ahmedabad,M,Married
CLT0018,Customer 0018,43.0,Pune,F,Single
CLT0019,Customer 0019,59.0,Pune,M,Single
CLT0020,Customer 0020,50.0,Surat,F,Single
CLT0021,Customer 0021,64.0,Ahmedabad,M,Single
CLT0022,Customer 0022,23.0,Ahmedabad,F,Married
CLT0023,Customer 0023,25.0,Pune,F,Single
CLT0024,Customer 0024,62.0,Surat,F,Married
CLT0025,Customer 0025,30.0,Ahmedabad,M,Single
CLT0026,Customer 0026,68.0,Delhi,F,Married
CLT0027,Customer 0027,58.0,Surat,F,Single
CLT0028,Customer 0028,29.0,Delhi,F,Single
CLT0029,Customer 0029,69.0,Mumbai,M,Single
CLT0030,Customer 0030,61.0,Pune,F,Single
CLT0031,Customer 0031,45.0,Surat,F,Married
CLT0032,Customer 0032,56.0,Mumbai,M,Married
CLT0033,Customer 0033,70.0,Ahmedabad,M,Married
CLT0034,Customer 0034,48.0,Pune,F,Single
CLT0035,Customer 0035,67.0,Ahmedabad,M,Single
CLT0036,Customer 0036,61.0,Ahmedabad,M,Single
CLT0037,Customer 0037,44.0,Pune,M,Married
CLT0038,Customer 0038,52.0,Mumbai,M,Married
CLT0039,Customer 0039,40.0,Pune,M,Single
CLT0040,Customer 0040,57.0,Mumbai,M,Married
CLT0041,Customer 0041,25.0,Delhi,M,Single
CLT0042,Customer 0042,63.0,Surat,M,Married
CLT0043,Customer 0043,54.0,Delhi,F,Single
CLT0044,Customer 0044,55.0,Pune,F,Married
CLT0045,Customer 0045,63.0,Ahmedabad,F,Married
CLT0046,Customer 0046,28.0,Pune,M,Single
CLT0047,Customer 0047,42.0,Mumbai,M,Single
CLT0048,Customer 0048,21.0,Mumbai,M,Single
CLT0049,Customer 0049,25.0,Mumbai,F,Single
CLT0050,Customer 0050,53.0,Pune,F,Married
CLT0051,Customer 0051,34.0,Delhi,M,Married
CLT0052,Customer 0052,36.0,Surat,F,Single
CLT0053,Customer 0053,27.0,Mumbai,F,Married
