claimant_id,name,age,city,gender,marital_status
CLT0001,Customer 0001,61,Mumbai,M,Married
CLT0002,Customer 0002,36,Pune,M,Single
CLT0003,Customer 0003,64,Delhi,M,Married
CLT0004,Customer 0004,23,Mumbai,M,Single
CLT0005,Customer 0005,35,Delhi,M,Single
CLT0006,Customer 0006,66,Delhi,F,Single
CLT0007,Customer 0007,49,Delhi,F,Single
CLT0008,Customer 0008,69,Pune,F,Married
CLT0009,Customer 0009,38,Pune,M,Married
CLT0010,Customer 0010,27,Mumbai,F,Single
CLT0011,Customer 0011,43,Ahmedabad,F,Single
CLT0012,Customer 0012,67,Surat,M,Married
CLT0013,Customer 0013,26,Delhi,F,Married
CLT0014,Customer 0014,57,Pune,M,Single
CLT0015,Customer 0015,63,Pune,F,Single
CLT0016,Customer 0016,35,Mumbai,F,Married
CLT0017,Customer 0017,50,Ahmedabad,M,Married
CLT0018,Customer 0018,43,Pune,F,Single
CLT0019,Customer 0019,59,Pune,M,Single
CLT0020,Customer 0020,50,Surat,F,Single
CLT0021,Customer 0021,64,Ahmedabad,M,Single
CLT0022,Customer 0022,23,Ahmedabad,F,Married
CLT0023,Customer 0023,25,Pune,F,Single
CLT0024,Customer 0024,62,Surat,F,Married
CLT0025,Customer 0025,30,Ahmedabad,M,Single
CLT0026,Customer 0026,68,Delhi,F,Married
CLT0027,Customer 0027,58,Surat,F,Single
CLT0028,Customer 0028,29,Delhi,F,Single
CLT0029,Customer 0029,69,Mumbai,M,Single
CLT0030,Customer 0030,61,Pune,F,Single
CLT0031,Customer 0031,45,Surat,F,Married
CLT0032,Customer 0032,56,Mumbai,M,Married
CLT0033,Customer 0033,70,Ahmedabad,M,Married
CLT0034,Customer 0034,48,Pune,F,Single
CLT0035,Customer 0035,67,Ahmedabad,M,Single
CLT0036,Customer 0036,61,Ahmedabad,M,Single
CLT0037,Customer 0037,44,Pune,M,Married
CLT0038,Customer 0038,52,Mumbai,M,Married
CLT0039,Customer 0039,40,Pune,M,Single
CLT0040,Customer 0040,57,Mumbai,M,Married
CLT0041,Customer 0041,25,Delhi,M,Single
CLT0042,Customer 0042,63,Surat,M,Married
CLT0043,Customer 0043,54,Delhi,F,Single
CLT0044,Customer 0044,55,Pune,F,Married
CLT0045,Customer 0045,63,Ahmedabad,F,Married
CLT0046,Customer 0046,28,Pune,M,Single
CLT0047,Customer 0047,42,Mumbai,M,Single
CLT0048,Customer 0048,21,Mumbai,M,Single
CLT0049,Customer 0049,25,Mumbai,F,Single
CLT0050,Customer 0050,53,Pune,F,Married
CLT0051,Customer 0051,34,Delhi,M,Married
CLT0052,Customer 0052,36,Surat,F,Single
CLT0053,Customer 0053,27,Mumbai,F,Married
CLT0054,Customer 0054,48,Surat,F,Single
CLT0055,Customer 0055,64,Mumbai,M,Married
CLT0056,Customer 0056,67,Ahmedabad,M,Single
CLT0057,Customer 0057,33,Pune,F,Single
CLT0058,Customer 0058,48,Pune,F,Married
CLT0059,Customer 0059,36,Mumbai,F,Single
CLT0060,Customer 0060,24,Delhi,M,Single
CLT0061,Customer 0061,69,Pune,M,Married
CLT0062,Customer 0062,52,Surat,M,Married
CLT0063,Customer 0063,24,Pune,F,Single
CLT0064,Customer 0064,45,Ahmedabad,F,Married
CLT0065,Customer 0065,48,Delhi,F,Single
CLT0066,Customer 0066,33,Ahmedabad,M,Single
CLT0067,Customer 0067,58,Delhi,M,Married
CLT0068,Customer 0068,24,Mumbai,F,Single
CLT0069,Customer 0069,24,Delhi,M,Single
CLT0070,Customer 0070,25,Delhi,M,Single
CLT0071,Customer 0071,46,Mumbai,M,Single
CLT0072,Customer 0072,60,Mumbai,F,Married
CLT0073,Customer 0073,37,Pune,F,Single
CLT0074,Customer 0074,37,Surat,M,Married
CLT0075,Customer 0075,50,Ahmedabad,M,Single
CLT0076,Customer 0076,50,Delhi,M,Single
CLT0077,Customer 0077,55,Pune,F,Single
CLT0078,Customer 0078,43,Mumbai,M,Married
CLT0079,Customer 0079,39,Pune,F,Married
CLT0080,Customer 0080,60,Delhi,M,Married
CLT0081,Customer 0081,63,Mumbai,M,Married
CLT0082,Customer 0082,28,Mumbai,M,Married
CLT0083,Customer 0083,39,Delhi,M,Married
CLT0084,Customer 0084,34,Ahmedabad,F,Married
CLT0085,Customer 0085,24,Mumbai,F,Married
CLT0086,Customer 0086,23,Mumbai,F,Single
CLT0087,Customer 0087,61,Ahmedabad,M,Married
CLT0088,Customer 0088,56,Surat,M,Single
CLT0089,Customer 0089,25,Pune,M,Married
CLT0090,Customer 0090,58,Delhi,M,Married
CLT0091,Customer 0091,29,Mumbai,F,Married
CLT0092,Customer 0092,23,Ahmedabad,M,Single
CLT0093,Customer 0093,63,Mumbai,F,Married
CLT0094,Customer 0094,60,Pune,M,Single
CLT0095,Customer 0095,32,Surat,M,Single
CLT0096,Customer 0096,68,Ahmedabad,F,Single
CLT0097,Customer 0097,38,Pune,M,Married
CLT0098,Customer 0098,23,Surat,M,Single
CLT0099,Customer 0099,50,Ahmedabad,F,Single
CLT0100,Customer 0100,35,Mumbai,M,Married
CLT0101,Customer 0101,42,Ahmedabad,M,Married
CLT0102,Customer 0102,43,Delhi,F,Married
CLT0103,Customer 0103,22,Mumbai,F,Single
CLT0104,Customer 0104,58,Ahmedabad,M,Single
CLT0105,Customer 0105,59,Surat,F,Married
CLT0106,Customer 0106,48,Delhi,M,Married
CLT0107,Customer 0107,57,Pune,F,Single
CLT0108,Customer 0108,66,Surat,M,Single
CLT0109,Customer 0109,44,Surat,M,Married
CLT0110,Customer 0110,60,Ahmedabad,M,Married
CLT0111,Customer 0111,53,Ahmedabad,F,Married
CLT0112,Customer 0112,46,Ahmedabad,M,Single
CLT0113,Customer 0113,47,Surat,M,Married
CLT0114,Customer 0114,46,Delhi,M,Married
CLT0115,Customer 0115,39,Pune,F,Married
CLT0116,Customer 0116,50,Surat,F,Single
CLT0117,Customer 0117,53,Surat,M,Single
CLT0118,Customer 0118,39,Delhi,F,Single
CLT0119,Customer 0119,69,Pune,F,Single
CLT0120,Customer 0120,33,Pune,M,Single
