invoice_id,provider_id,invoice_amount,invoice_date,description
INV00001,PRV007,44405,2026-03-02,Invoice description 1
INV00002,PRV016,14890,2026-04-03,Invoice description 2
INV00003,PRV018,158019,2026-04-05,Invoice description 3
INV00004,PRV015,152610,2026-02-03,Invoice description 4
INV00005,PRV020,30600,2026-01-17,Invoice description 5
INV00006,PRV010,112375,2026-07-03,Invoice description 6
INV00007,PRV024,133479,2026-05-15,Invoice description 7
INV00008,PRV014,115330,2026-07-30,Invoice description 8
INV00009,PRV019,27333,2026-02-02,Invoice description 9
INV00010,PRV011,176385,2026-01-19,Invoice description 10
INV00011,PRV015,130115,2026-06-24,Invoice description 11
INV00012,PRV017,98312,2026-02-02,Invoice description 12
INV00013,PRV025,152520,2026-06-13,Invoice description 13
INV00014,PRV019,55700,2026-07-16,Invoice description 14
INV00015,PRV005,121408,2026-05-09,Invoice description 15
INV00016,PRV002,40548,2026-05-13,Invoice description 16
INV00017,PRV005,87724,2026-02-12,Invoice description 17
INV00018,PRV006,92583,2026-08-28,Invoice description 18
INV00019,PRV023,67105,2026-03-30,Invoice description 19
INV00020,PRV017,82461,2026-08-05,Invoice description 20
INV00021,PRV003,73694,2026-02-20,Invoice description 21
INV00022,PRV021,152399,2026-03-12,Invoice description 22
INV00023,PRV005,171845,2026-03-19,Invoice description 23
INV00024,PRV020,147848,2026-01-24,Invoice description 24
INV00025,PRV017,176031,2026-02-13,Invoice description 25
INV00026,PRV019,160212,2026-02-09,Invoice description 26
INV00027,PRV006,171703,2026-07-04,Invoice description 27
INV00028,PRV020,96504,2026-08-04,Invoice description 28
INV00029,PRV019,18798,2026-07-31,Invoice description 29
INV00030,PRV001,29292,2026-01-12,Invoice description 30
INV00031,PRV021,159197,2026-03-09,Invoice description 31
INV00032,PRV021,63262,2026-07-16,Invoice description 32
INV00033,PRV019,117205,2026-06-08,Invoice description 33
INV00034,PRV021,15939,2026-05-08,Invoice description 34
INV00035,PRV021,151019,2026-03-16,Invoice description 35
INV00036,PRV021,87192,2026-05-04,Invoice description 36
INV00037,PRV008,114454,2026-03-18,Invoice description 37
INV00038,PRV015,27129,2026-06-26,Invoice description 38
INV00039,PRV002,49439,2026-04-23,Invoice description 39
INV00040,PRV014,134943,2026-04-29,Invoice description 40
INV00041,PRV007,97179,2026-06-05,Invoice description 41
INV00042,PRV005,89941,2026-08-09,Invoice description 42
INV00043,PRV023,91706,2026-07-07,Invoice description 43
INV00044,PRV012,112521,2026-02-03,Invoice description 44
INV00045,PRV025,105134,2026-05-12,Invoice description 45
INV00046,PRV018,35835,2026-03-23,Invoice description 46
INV00047,PRV008,130282,2026-02-01,Invoice description 47
INV00048,PRV009,125858,2026-03-05,Invoice description 48
INV00049,PRV005,33378,2026-01-13,Invoice description 49
INV00050,PRV010,108702,2026-08-10,Invoice description 50
INV00051,PRV020,117611,2026-03-05,Invoice description 51
INV00052,PRV006,93835,2026-08-28,Invoice description 52
INV00053,PRV019,89976,2026-02-18,Invoice description 53
INV00054,PRV025,49770,2026-05-08,Invoice description 54
INV00055,PRV017,130372,2026-05-08,Invoice description 55
INV00056,PRV010,138382,2026-01-06,Invoice description 56
INV00057,PRV003,111086,2026-05-10,Invoice description 57
INV00058,PRV015,71105,2026-02-25,Invoice description 58
INV00059,PRV019,100509,2026-01-13,Invoice description 59
INV00060,PRV002,81755,2026-05-07,Invoice description 60
INV00061,PRV020,179510,2026-06-22,Invoice description 61
INV00062,PRV016,82907,2026-05-18,Invoice description 62
INV00063,PRV001,36179,2026-04-21,Invoice description 63
INV00064,PRV005,77329,2026-07-06,Invoice description 64
INV00065,PRV012,113710,2026-04-04,Invoice description 65
INV00066,PRV002,113010,2026-01-14,Invoice description 66
INV00067,PRV019,155276,2026-02-19,Invoice description 67
INV00068,PRV012,153024,2026-03-15,Invoice description 68
INV00069,PRV003,109279,2026-05-10,Invoice description 69
INV00070,PRV015,152141,2026-03-13,Invoice description 70
INV00071,PRV020,168181,2026-01-31,Invoice description 71
INV00072,PRV005,33344,2026-04-11,Invoice description 72
INV00073,PRV012,96889,2026-05-23,Invoice description 73
INV00074,PRV012,45818,2026-02-20,Invoice description 74
INV00075,PRV020,141463,2026-04-13,Invoice description 75
INV00076,PRV017,18552,2026-01-12,Invoice description 76
INV00077,PRV002,43923,2026-07-02,Invoice description 77
INV00078,PRV011,132189,2026-05-13,Invoice description 78
INV00079,PRV015,47043,2026-06-05,Invoice description 79
INV00080,PRV017,44642,2026-03-25,Invoice description 80
INV00081,PRV020,91500,2026-02-11,Invoice description 81
INV00082,PRV013,169611,2026-07-09,Invoice description 82
INV00083,PRV010,163641,2026-03-28,Invoice description 83
INV00084,PRV017,141618,2026-05-17,Invoice description 84
INV00085,PRV016,155567,2026-03-18,Invoice description 85
INV00086,PRV016,12361,2026-04-05,Invoice description 86
INV00087,PRV011,36732,2026-09-08,Invoice description 87
INV00088,PRV014,161014,2026-03-20,Invoice description 88
INV00089,PRV024,172956,2026-01-07,Invoice description 89
INV00090,PRV020,132410,2026-03-09,Invoice description 90
INV00091,PRV021,159643,2026-05-28,Invoice description 91
INV00092,PRV008,21462,2026-05-30,Invoice description 92
INV00093,PRV016,52698,2026-05-15,Invoice description 93
INV00094,PRV021,170460,2026-07-18,Invoice description 94
INV00095,PRV013,46738,2026-07-30,Invoice description 95
INV00096,PRV022,71490,2026-01-09,Invoice description 96
INV00097,PRV019,36808,2026-02-18,Invoice description 97
INV00098,PRV001,123615,2026-03-22,Invoice description 98
INV00099,PRV014,47696,2026-04-16,Invoice description 99
INV00100,PRV023,61448,2026-04-16,Invoice description 100
INV00101,PRV017,168295,2026-08-24,Invoice description 101
INV00102,PRV016,24326,2026-06-30,Invoice description 102
INV00103,PRV005,143969,2026-02-23,Invoice description 103
INV00104,PRV018,93209,2026-06-19,Invoice description 104
INV00105,PRV016,145750,2026-04-07,Invoice description 105
INV00106,PRV011,53398,2026-04-28,Invoice description 106
INV00107,PRV018,97738,2026-05-20,Invoice description 107
INV00108,PRV012,176639,2026-07-25,Invoice description 108
INV00109,PRV023,77300,2026-06-06,Invoice description 109
INV00110,PRV016,58400,2026-09-03,Invoice description 110
INV00111,PRV008,81139,2026-05-23,Invoice description 111
INV00112,PRV010,66947,2026-08-30,Invoice description 112
INV00113,PRV010,83760,2026-06-30,Invoice description 113
INV00114,PRV007,136189,2026-03-23,Invoice description 114
INV00115,PRV016,99436,2026-05-24,Invoice description 115
INV00116,PRV024,79685,2026-03-15,Invoice description 116
INV00117,PRV004,158333,2026-06-23,Invoice description 117
INV00118,PRV018,107534,2026-08-18,Invoice description 118
INV00119,PRV013,98474,2026-09-02,Invoice description 119
INV00120,PRV025,46397,2026-03-16,Invoice description 120
INV00121,PRV002,83400,2026-09-02,Invoice description 121
INV00122,PRV023,28717,2026-03-30,Invoice description 122
INV00123,PRV015,179959,2026-03-07,Invoice description 123
INV00124,PRV024,133587,2026-02-24,Invoice description 124
INV00125,PRV007,149184,2026-03-11,Invoice description 125
INV00126,PRV018,79203,2026-02-05,Invoice description 126
INV00127,PRV004,169396,2026-07-09,Invoice description 127
INV00128,PRV019,70726,2026-03-04,Invoice description 128
INV00129,PRV002,147209,2026-02-27,Invoice description 129
INV00130,PRV021,69036,2026-01-14,Invoice description 130
INV00131,PRV004,116344,2026-03-26,Invoice description 131
INV00132,PRV023,131837,2026-01-26,Invoice description 132
INV00133,PRV022,44036,2026-01-02,Invoice description 133
INV00134,PRV018,49403,2026-04-15,Invoice description 134
INV00135,PRV021,132701,2026-05-03,Invoice description 135
INV00136,PRV021,60286,2026-07-13,Invoice description 136
INV00137,PRV010,92192,2026-03-15,Invoice description 137
INV00138,PRV021,23509,2026-08-21,Invoice description 138
INV00139,PRV025,31451,2026-06-16,Invoice description 139
INV00140,PRV019,68875,2026-05-17,Invoice description 140
INV00141,PRV024,17777,2026-08-22,Invoice description 141
INV00142,PRV006,117546,2026-08-14,Invoice description 142
INV00143,PRV006,17526,2026-08-03,Invoice description 143
INV00144,PRV013,137861,2026-02-17,Invoice description 144
INV00145,PRV024,83882,2026-08-13,Invoice description 145
INV00146,PRV002,10429,2026-03-18,Invoice description 146
INV00147,PRV019,166015,2026-01-28,Invoice description 147
INV00148,PRV011,82596,2026-04-27,Invoice description 148
INV00149,PRV021,150422,2026-05-15,Invoice description 149
INV00150,PRV016,43179,2026-08-06,Invoice description 150
INV00151,PRV017,130688,2026-03-11,Invoice description 151
INV00152,PRV007,37529,2026-03-26,Invoice description 152
INV00153,PRV006,128301,2026-06-15,Invoice description 153
INV00154,PRV009,56810,2026-01-04,Invoice description 154
INV00155,PRV024,96371,2026-07-22,Invoice description 155
INV00156,PRV010,156840,2026-06-22,Invoice description 156
INV00157,PRV025,58636,2026-02-14,Invoice description 157
INV00158,PRV020,175438,2026-08-18,Invoice description 158
INV00159,PRV013,120119,2026-05-12,Invoice description 159
INV00160,PRV011,30737,2026-04-13,Invoice description 160
INV00161,PRV022,33004,2026-02-17,Invoice description 161
INV00162,PRV005,133161,2026-03-24,Invoice description 162
INV00163,PRV008,9790,2026-03-08,Invoice description 163
INV00164,PRV013,69740,2026-04-25,Invoice description 164
INV00165,PRV025,77990,2026-09-02,Invoice description 165
INV00166,PRV011,87153,2026-05-30,Invoice description 166
INV00167,PRV024,158176,2026-01-03,Invoice description 167
INV00168,PRV009,179359,2026-04-03,Invoice description 168
INV00169,PRV023,69945,2026-01-16,Invoice description 169
INV00170,PRV022,38991,2026-04-30,Invoice description 170
INV00171,PRV010,49868,2026-04-14,Invoice description 171
INV00172,PRV022,139732,2026-08-25,Invoice description 172
INV00173,PRV023,89521,2026-06-26,Invoice description 173
INV00174,PRV004,175434,2026-08-23,Invoice description 174
INV00175,PRV010,104349,2026-06-07,Invoice description 175
INV00176,PRV008,65443,2026-09-03,Invoice description 176
INV00177,PRV005,133352,2026-02-09,Invoice description 177
INV00178,PRV015,166790,2026-04-06,Invoice description 178
INV00179,PRV014,151978,2026-08-22,Invoice description 179
INV00180,PRV016,148907,2026-07-25,Invoice description 180
INV00181,PRV022,65255,2026-07-15,Invoice description 181
INV00182,PRV008,164189,2026-08-12,Invoice description 182
INV00183,PRV003,145758,2026-04-25,Invoice description 183
INV00184,PRV017,102839,2026-01-20,Invoice description 184
INV00185,PRV019,37414,2026-01-16,Invoice description 185
INV00186,PRV018,140510,2026-02-21,Invoice description 186
INV00187,PRV019,148682,2026-02-08,Invoice description 187
INV00188,PRV006,94014,2026-08-07,Invoice description 188
INV00189,PRV017,123825,2026-01-30,Invoice description 189
INV00190,PRV022,61844,2026-07-03,Invoice description 190
INV00191,PRV019,136143,2026-01-24,Invoice description 191
INV00192,PRV017,124780,2026-07-27,Invoice description 192
INV00193,PRV002,126864,2026-02-03,Invoice description 193
INV00194,PRV017,116901,2026-04-27,Invoice description 194
INV00195,PRV019,23135,2026-05-24,Invoice description 195
INV00196,PRV015,88784,2026-07-05,Invoice description 196
INV00197,PRV001,111795,2026-03-07,Invoice description 197
INV00198,PRV001,65121,2026-05-29,Invoice description 198
INV00199,PRV003,19872,2026-04-19,Invoice description 199
INV00200,PRV012,24714,2026-05-19,Invoice description 200
INV00201,PRV002,26092,2026-08-28,Invoice description 201
INV00202,PRV016,16319,2026-03-15,Invoice description 202
INV00203,PRV014,55181,2026-07-16,Invoice description 203
INV00204,PRV005,176171,2026-09-08,Invoice description 204
INV00205,PRV024,177313,2026-09-04,Invoice description 205
INV00206,PRV014,106162,2026-08-17,Invoice description 206
INV00207,PRV013,125581,2026-08-11,Invoice description 207
INV00208,PRV013,106473,2026-01-21,Invoice description 208
INV00209,PRV022,149374,2026-02-04,Invoice description 209
INV00210,PRV021,99165,2026-01-31,Invoice description 210
INV00211,PRV006,148839,2026-04-11,Invoice description 211
INV00212,PRV017,41383,2026-07-06,Invoice description 212
INV00213,PRV008,8910,2026-07-13,Invoice description 213
INV00214,PRV001,86214,2026-04-29,Invoice description 214
INV00215,PRV022,150723,2026-04-19,Invoice description 215
INV00216,PRV018,107425,2026-07-30,Invoice description 216
INV00217,PRV008,72883,2026-04-28,Invoice description 217
INV00218,PRV012,48664,2026-03-12,Invoice description 218
