policy_id,claimant_id,start_date,end_date,policy_type,premium
POL0001,CLT0032,2025-09-01,2026-11-09,Comprehensive,74692
POL0002,CLT0054,2026-03-30,2026-11-19,Zero Dep,40485
POL0003,CLT0092,2025-12-23,2026-07-16,Third Party,67383
POL0004,CLT0032,2025-03-17,2026-12-02,Zero Dep,15726
POL0005,CLT0115,2026-01-20,2027-03-17,Comprehensive,70724
POL0006,CLT0029,2025-04-01,2027-02-16,Zero Dep,82889
POL0007,CLT0060,2025-01-26,2026-10-13,Comprehensive,30906
POL0008,CLT0059,2025-03-10,2027-02-15,Third Party,84616
POL0009,CLT0072,2025-11-01,2026-06-12,Third Party,81162
POL0010,CLT0055,2026-03-02,2027-04-10,Zero Dep,73446
POL0011,CLT0115,2025-03-23,2027-01-16,Third Party,73991
POL0012,CLT0034,2026-01-20,2026-05-07,Zero Dep,51347
POL0013,CLT0099,2026-02-03,2026-09-24,Third Party,46358
POL0014,CLT0036,2025-08-14,2026-02-09,Zero Dep,52450
POL0015,CLT0031,2025-05-20,2026-06-21,Third Party,85798
POL0016,CLT0011,2025-03-12,2026-03-19,Comprehensive,65205
POL0017,CLT0089,2025-03-20,2026-12-28,Comprehensive,23418
POL0018,CLT0054,2025-07-28,2026-06-19,Zero Dep,76069
POL0019,CLT0054,2025-02-01,2026-04-16,Third Party,66049
POL0020,CLT0116,2026-01-30,2026-10-27,Zero Dep,17560
POL0021,CLT0110,2026-03-27,2027-01-27,Zero Dep,64857
POL0022,CLT0062,2025-01-04,2027-04-28,Third Party,54139
POL0023,CLT0097,2025-07-19,2027-03-13,Third Party,85545
POL0024,CLT0096,2026-01-12,2026-10-07,Zero Dep,43906
POL0025,CLT0063,2025-04-23,2026-05-20,Third Party,78654
POL0026,CLT0004,2025-07-19,2026-06-22,Zero Dep,67994
POL0027,CLT0093,2025-03-26,2027-03-07,Third Party,31728
POL0028,CLT0080,2025-10-01,2026-01-14,Third Party,88975
POL0029,CLT0085,2025-01-14,2026-02-12,Zero Dep,71179
POL0030,CLT0018,2026-03-20,2026-08-25,Comprehensive,21590
POL0031,CLT0034,2025-07-14,2026-06-17,Comprehensive,74598
POL0032,CLT0042,2025-06-22,2027-01-25,Third Party,51471
POL0033,CLT0097,2026-05-03,2027-03-02,Third Party,48065
POL0034,CLT0107,2025-02-11,2026-08-29,Comprehensive,85702
POL0035,CLT0007,2026-05-03,2026-06-29,Comprehensive,23993
POL0036,CLT0100,2026-05-06,2026-11-30,Comprehensive,19067
POL0037,CLT0032,2025-04-13,2027-03-06,Comprehensive,34973
POL0038,CLT0031,2025-03-06,2026-08-31,Zero Dep,29993
POL0039,CLT0073,2026-05-01,2026-04-22,Third Party,48586
POL0040,CLT0099,2025-07-08,2026-03-27,Zero Dep,30012
POL0041,CLT0100,2026-02-24,2026-03-25,Third Party,29168
POL0042,CLT0075,2025-01-14,2027-04-21,Third Party,64192
POL0043,CLT0051,2026-04-28,2027-01-02,Comprehensive,24961
POL0044,CLT0076,2025-12-20,2027-03-02,Zero Dep,46830
POL0045,CLT0014,2025-12-23,2027-01-31,Third Party,30866
POL0046,CLT0102,2025-10-17,2027-02-05,Comprehensive,60508
POL0047,CLT0069,2025-08-08,2026-12-05,Third Party,24038
POL0048,CLT0065,2025-11-28,2026-06-24,Comprehensive,70057
POL0049,CLT0106,2025-09-08,2026-02-24,Third Party,62472
POL0050,CLT0082,2026-04-02,2027-03-01,Third Party,35052
POL0051,CLT0056,2025-04-01,2027-01-11,Zero Dep,50400
POL0052,CLT0079,2026-02-18,2027-04-16,Zero Dep,78372
POL0053,CLT0060,2025-08-12,2027-02-27,Zero Dep,50179
POL0054,CLT0042,2026-03-13,2026-05-06,Comprehensive,51559
POL0055,CLT0113,2025-08-19,2026-05-05,Third Party,89691
POL0056,CLT0079,2025-12-09,2026-07-14,Third Party,18761
POL0057,CLT0064,2026-03-12,2026-06-16,Comprehensive,78904
POL0058,CLT0028,2025-07-01,2027-02-13,Third Party,59608
POL0059,CLT0036,2026-03-27,2026-11-02,Zero Dep,51211
POL0060,CLT0072,2025-01-06,2026-09-22,Comprehensive,26221
POL0061,CLT0031,2026-01-04,2026-07-28,Third Party,87768
POL0062,CLT0098,2025-05-04,2026-12-20,Third Party,79332
POL0063,CLT0058,2026-02-10,2026-01-09,Comprehensive,53566
POL0064,CLT0029,2025-07-27,2026-12-21,Comprehensive,55135
POL0065,CLT0085,2025-10-25,2026-07-08,Third Party,87544
POL0066,CLT0068,2025-06-26,2026-08-06,Zero Dep,87140
POL0067,CLT0043,2025-06-30,2026-12-26,Third Party,50509
POL0068,CLT0040,2025-05-09,2026-04-29,Comprehensive,40242
POL0069,CLT0041,2025-03-03,2027-01-16,Zero Dep,39267
POL0070,CLT0025,2025-04-21,2027-01-14,Third Party,51241
POL0071,CLT0093,2025-10-29,2027-05-16,Zero Dep,52093
POL0072,CLT0013,2026-03-03,2026-04-10,Third Party,44816
POL0073,CLT0047,2025-04-02,2026-06-04,Comprehensive,85010
POL0074,CLT0017,2025-05-21,2026-01-24,Comprehensive,87529
POL0075,CLT0038,2025-12-24,2027-04-29,Comprehensive,79340
POL0076,CLT0014,2026-03-23,2026-01-07,Zero Dep,52268
POL0077,CLT0061,2025-09-03,2026-08-14,Third Party,39164
POL0078,CLT0007,2025-05-10,2027-04-27,Third Party,29953
POL0079,CLT0106,2025-02-03,2026-07-25,Third Party,24710
POL0080,CLT0074,2025-11-19,2026-12-18,Comprehensive,34887
POL0081,CLT0020,2026-02-20,2026-10-16,Third Party,26164
POL0082,CLT0032,2025-03-02,2026-10-13,Third Party,44581
POL0083,CLT0100,2025-09-25,2026-07-14,Third Party,73028
POL0084,CLT0039,2026-03-17,2026-10-29,Third Party,55026
POL0085,CLT0073,2025-11-14,2026-01-31,Zero Dep,28006
POL0086,CLT0098,2025-04-17,2026-11-17,Comprehensive,49687
POL0087,CLT0085,2025-02-11,2026-03-22,Comprehensive,37782
POL0088,CLT0071,2025-02-08,2026-03-22,Comprehensive,68545
POL0089,CLT0058,2025-12-19,2026-11-01,Third Party,53175
POL0090,CLT0005,2025-04-29,2026-05-28,Zero Dep,52056
POL0091,CLT0090,2026-03-17,2026-08-21,Comprehensive,45595
POL0092,CLT0119,2025-05-16,2027-02-08,Zero Dep,40928
POL0093,CLT0055,2025-02-28,2026-10-06,Comprehensive,34528
POL0094,CLT0117,2025-05-17,2027-02-28,Comprehensive,24359
POL0095,CLT0008,2025-03-26,2027-02-10,Third Party,89607
POL0096,CLT0118,2025-05-28,2026-08-13,Comprehensive,76433
POL0097,CLT0089,2025-06-05,2026-12-25,Third Party,50683
POL0098,CLT0065,2025-10-04,2026-09-10,Third Party,25543
POL0099,CLT0077,2025-01-21,2027-04-01,Third Party,57247
POL0100,CLT0078,2025-05-09,2026-01-14,Comprehensive,45005
POL0101,CLT0087,2026-03-05,2027-03-17,Zero Dep,17719
POL0102,CLT0098,2025-12-11,2027-02-25,Third Party,20273
POL0103,CLT0098,2026-01-23,2026-03-31,Third Party,83021
POL0104,CLT0084,2025-08-15,2027-04-15,Third Party,38788
POL0105,CLT0075,2025-08-12,2026-11-22,Third Party,26959
POL0106,CLT0061,2025-06-28,2026-07-29,Third Party,57081
POL0107,CLT0086,2025-02-23,2027-03-16,Comprehensive,58228
POL0108,CLT0053,2025-12-22,2026-09-11,Third Party,67488
POL0109,CLT0105,2026-01-25,2026-10-09,Comprehensive,74614
POL0110,CLT0012,2025-06-11,2026-05-10,Third Party,30194
POL0111,CLT0099,2025-07-26,2027-03-19,Zero Dep,15150
POL0112,CLT0085,2026-03-22,2026-10-05,Third Party,69165
POL0113,CLT0007,2025-04-07,2026-09-23,Third Party,80338
POL0114,CLT0081,2025-08-15,2027-01-25,Comprehensive,41680
POL0115,CLT0035,2025-10-09,2026-03-09,Third Party,72424
POL0116,CLT0113,2025-12-24,2026-09-06,Comprehensive,18783
POL0117,CLT0081,2025-11-08,2027-02-14,Comprehensive,35758
POL0118,CLT0040,2025-10-10,2026-01-08,Zero Dep,68476
POL0119,CLT0012,2025-04-26,2027-03-07,Comprehensive,75482
POL0120,CLT0016,2025-11-28,2027-03-03,Comprehensive,80323
POL0121,CLT0120,2026-01-02,2026-05-30,Zero Dep,50838
POL0122,CLT0054,2026-03-04,2026-09-05,Third Party,46946
POL0123,CLT0059,2025-10-10,2026-03-16,Third Party,39983
POL0124,CLT0118,2025-11-03,2026-09-18,Zero Dep,32892
POL0125,CLT0111,2025-02-05,2026-05-22,Third Party,59548
POL0126,CLT0120,2026-02-08,2026-09-17,Third Party,15336
POL0127,CLT0037,2026-01-07,2026-06-02,Zero Dep,79178
POL0128,CLT0111,2025-03-18,2026-08-17,Zero Dep,78483
POL0129,CLT0045,2025-06-20,2026-10-10,Zero Dep,64441
POL0130,CLT0059,2026-04-23,2026-06-14,Comprehensive,46300
POL0131,CLT0074,2025-07-16,2026-04-30,Third Party,20720
POL0132,CLT0041,2026-01-17,2026-08-31,Zero Dep,64968
POL0133,CLT0050,2025-12-06,2027-02-10,Zero Dep,34936
POL0134,CLT0064,2026-05-09,2026-01-19,Comprehensive,80836
POL0135,CLT0076,2025-06-19,2027-03-22,Comprehensive,72711
POL0136,CLT0013,2025-09-27,2027-04-12,Third Party,17011
POL0137,CLT0093,2025-03-15,2026-07-29,Zero Dep,35232
POL0138,CLT0010,2025-08-29,2027-02-05,Third Party,59375
POL0139,CLT0080,2025-12-21,2026-07-23,Zero Dep,25527
POL0140,CLT0110,2025-06-18,2027-03-13,Zero Dep,84942
