vehicle_id,claimant_id,make,vehicle_type,registration_no,model_year
VEH0001,CLT0049,Tata,MUV,MH351588,2019
VEH0002,CLT0031,Tata,Sedan,MH482480,2024
VEH0003,CLT0013,Maruti,MUV,MH115906,2018
VEH0004,CLT0006,Tata,Hatchback,MH196873,2023
VEH0005,CLT0056,Hyundai,Sedan,MH347751,2020
VEH0006,CLT0022,Hyundai,Hatchback,MH407267,2021
VEH0007,CLT0064,Mahindra,Sedan,MH158555,2022
VEH0008,CLT0059,Tata,Hatchback,MH528622,2022
VEH0009,CLT0087,Mahindra,Sedan,MH058237,2023
VEH0010,CLT0076,Tata,MUV,MH455097,2025
VEH0011,CLT0109,Tata,Sedan,MH258916,2019
VEH0012,CLT0031,Honda,SUV,MH375847,2022
VEH0013,CLT0003,Honda,SUV,MH011803,2025
VEH0014,CLT0107,Tata,Sedan,MH396772,2021
VEH0015,CLT0082,Hyundai,SUV,MH443240,2019
VEH0016,CLT0116,Maruti,SUV,MH518222,2018
VEH0017,CLT0075,Tata,Sedan,MH065835,2023
VEH0018,CLT0096,Honda,Sedan,MH133165,2023
VEH0019,CLT0068,Mahindra,SUV,MH543695,2022
VEH0020,CLT0117,Honda,SUV,MH486549,2019
VEH0021,CLT0060,Maruti,Sedan,MH494696,2024
VEH0022,CLT0109,Mahindra,SUV,MH067464,2018
VEH0023,CLT0034,Mahindra,Hatchback,MH307038,2022
VEH0024,CLT0075,Honda,SUV,MH074830,2025
VEH0025,CLT0004,Mahindra,SUV,MH404626,2019
VEH0026,CLT0082,Honda,SUV,MH427689,2019
VEH0027,CLT0018,Maruti,Hatchback,MH209071,2019
VEH0028,CLT0013,Hyundai,Sedan,MH258432,2023
VEH0029,CLT0086,Mahindra,MUV,MH383531,2024
VEH0030,CLT0084,Maruti,MUV,MH407686,2022
VEH0031,CLT0005,Tata,Sedan,MH298285,2021
VEH0032,CLT0110,Tata,Hatchback,MH447018,2023
VEH0033,CLT0008,Honda,SUV,MH133001,2025
VEH0034,CLT0012,Hyundai,Hatchback,MH046464,2021
VEH0035,CLT0017,Mahindra,Sedan,MH054394,2021
VEH0036,CLT0105,Hyundai,SUV,MH503417,2018
VEH0037,CLT0036,Hyundai,Sedan,MH355106,2020
VEH0038,CLT0015,Maruti,Sedan,MH016869,2021
VEH0039,CLT0076,Tata,Hatchback,MH125347,2018
VEH0040,CLT0017,Honda,Hatchback,MH482041,2025
VEH0041,CLT0058,Tata,Hatchback,MH299254,2021
VEH0042,CLT0079,Maruti,SUV,MH301510,2018
VEH0043,CLT0062,Honda,MUV,MH442768,2025
VEH0044,CLT0092,Honda,Hatchback,MH066277,2020
VEH0045,CLT0009,Hyundai,SUV,MH409984,2023
VEH0046,CLT0049,Mahindra,SUV,MH309282,2024
