claim_id,claimant_id,policy_id,vehicle_id,provider_id,invoice_id,claim_date,claim_amount,claim_type,status,fraud_label,description
CLM00001,CLT0099,POL0005,VEH0062,PRV007,INV00018,2026-01-26,132760,Theft,Open,1,Claim description 1
CLM00002,CLT0052,POL0113,VEH0060,PRV018,INV00056,2026-07-13,231421,Theft,Approved,0,Claim description 2
CLM00003,CLT0030,POL0082,VEH0083,PRV008,INV00078,2026-08-13,42554,Glass Damage,Under Review,0,Claim description 3
CLM00004,CLT0053,POL0077,VEH0071,PRV002,INV00143,2026-08-31,160101,Theft,Rejected,0,Claim description 4
CLM00005,CLT0072,POL0127,VEH0013,PRV012,INV00165,2026-06-21,104917,Fire,Rejected,0,Claim description 5
CLM00006,CLT0053,POL0039,VEH0077,PRV013,INV00048,2026-07-13,146014,Theft,Approved,0,Claim description 6
CLM00007,CLT0110,POL0037,VEH0119,PRV002,INV00144,2026-04-16,114185,Theft,Rejected,0,Claim description 7
CLM00008,CLT0032,POL0066,VEH0053,PRV011,INV00166,2026-01-21,246756,Fire,Open,0,Claim description 8
CLM00009,CLT0069,POL0049,VEH0014,PRV009,INV00097,2026-06-22,163589,Accident,Under Review,0,Claim description 9
CLM00010,CLT0103,POL0056,VEH0123,PRV007,INV00086,2026-03-19,243287,Accident,Rejected,1,Claim description 10
CLM00011,CLT0118,POL0063,VEH0053,PRV013,INV00062,2026-05-22,89309,Natural Disaster,Rejected,0,Claim description 11
CLM00012,CLT0069,POL0092,VEH0079,PRV009,INV00093,2026-05-12,236423,Accident,Rejected,0,Claim description 12
CLM00013,CLT0098,POL0082,VEH0053,PRV012,INV00081,2026-04-16,16984,Theft,Under Review,0,Claim description 13
CLM00014,CLT0003,POL0067,VEH0107,PRV010,INV00040,2026-02-20,91472,Glass Damage,Under Review,0,Claim description 14
CLM00015,CLT0064,POL0087,VEH0066,PRV025,INV00211,2026-05-06,194676,Natural Disaster,Rejected,0,Claim description 15
CLM00016,CLT0022,POL0091,VEH0044,PRV005,INV00185,2026-05-20,133009,Glass Damage,Open,0,Claim description 16
CLM00017,CLT0068,POL0009,VEH0020,PRV022,INV00013,2026-07-15,6673,Theft,Open,0,Claim description 17
CLM00018,CLT0091,POL0039,VEH0003,PRV007,INV00130,2026-04-27,102832,Glass Damage,Rejected,1,Claim description 18
CLM00019,CLT0085,POL0125,VEH0005,PRV001,INV00137,2026-05-22,192021,Glass Damage,Approved,1,Claim description 19
CLM00020,CLT0003,POL0129,VEH0111,PRV006,INV00028,2026-08-24,30248,Theft,Under Review,0,Claim description 20
CLM00021,CLT0080,POL0135,VEH0065,PRV012,INV00069,2026-07-23,109044,Natural Disaster,Under Review,1,Claim description 21
CLM00022,CLT0090,POL0058,VEH0077,PRV022,INV00212,2026-08-06,26133,Accident,Open,0,Claim description 22
CLM00023,CLT0052,POL0098,VEH0097,PRV018,INV00122,2026-01-15,251034,Natural Disaster,Approved,1,Claim description 23
CLM00024,CLT0073,POL0025,VEH0011,PRV008,INV00055,2026-08-19,232571,Glass Damage,Rejected,0,Claim description 24
CLM00025,CLT0035,POL0012,VEH0020,PRV022,INV00072,2026-08-19,147352,Accident,Under Review,0,Claim description 25
CLM00026,CLT0119,POL0081,VEH0005,PRV007,INV00151,2026-02-06,202198,Natural Disaster,Open,0,Claim description 26
CLM00027,CLT0039,POL0042,VEH0062,PRV019,INV00214,2026-08-06,107015,Glass Damage,Approved,0,Claim description 27
CLM00028,CLT0050,POL0036,VEH0021,PRV017,INV00191,2026-09-07,139927,Fire,Rejected,1,Claim description 28
CLM00029,CLT0100,POL0084,VEH0008,PRV021,INV00070,2026-07-20,123109,Fire,Rejected,0,Claim description 29
CLM00030,CLT0056,POL0048,VEH0098,PRV003,INV00198,2026-06-08,82431,Accident,Open,0,Claim description 30
CLM00031,CLT0035,POL0040,VEH0098,PRV023,INV00201,2026-06-12,45442,Fire,Approved,0,Claim description 31
CLM00032,CLT0014,POL0024,VEH0002,PRV010,INV00114,2026-04-03,204582,Theft,Open,0,Claim description 32
CLM00033,CLT0024,POL0111,VEH0115,PRV018,INV00143,2026-05-12,265285,Accident,Approved,1,Claim description 33
CLM00034,CLT0111,POL0099,VEH0004,PRV010,INV00106,2026-04-10,209254,Theft,Under Review,1,Claim description 34
CLM00035,CLT0088,POL0098,VEH0044,PRV005,INV00069,2026-03-19,75361,Accident,Under Review,0,Claim description 35
