location_id,city,latitude,longitude
LOC001,Surat,22.408,77.4138
LOC002,Ahmedabad,20.0337,76.2955
LOC003,Delhi,23.7655,74.0159
LOC004,Ahmedabad,20.4469,77.0601
LOC005,Pune,28.4247,73.9326
LOC006,Surat,21.7425,73.6033
LOC007,Ahmedabad,24.4224,74.6999
LOC008,Pune,18.492,73.0016
LOC009,Surat,25.4906,73.544
LOC010,Mumbai,20.9618,75.1996
LOC011,Delhi,21.8857,77.4543
LOC012,Mumbai,19.0157,75.894
LOC013,Delhi,26.5521,73.404
LOC014,Pune,21.6624,75.4801
LOC015,Ahmedabad,26.6969,74.9059
LOC016,Pune,18.6199,74.6133
LOC017,Pune,20.9822,72.9895
LOC018,Surat,24.158,75.4051
LOC019,Surat,20.3547,73.6958
LOC020,Ahmedabad,21.7339,75.0483
LOC021,Delhi,27.8191,75.4617
LOC022,Mumbai,23.8707,74.957
LOC023,Ahmedabad,23.9785,74.9796
LOC024,Delhi,22.3041,73.6906
LOC025,Mumbai,24.7833,74.5476
LOC026,Delhi,20.8595,76.2608
LOC027,Delhi,26.8362,73.7114
LOC028,Surat,26.2871,73.5398
LOC029,Ahmedabad,21.7228,75.8763
LOC030,Mumbai,19.3914,75.9627
LOC031,Mumbai,27.0025,73.4229
LOC032,Mumbai,20.4814,75.1298
LOC033,Mumbai,18.7277,75.8804
LOC034,Surat,25.1766,75.3239
LOC035,Delhi,21.0362,74.5585
LOC036,Delhi,25.7938,72.8628
LOC037,Pune,25.1542,77.2563
LOC038,Mumbai,23.221,75.8668
LOC039,Ahmedabad,24.1476,77.3036
LOC040,Surat,26.8669,76.6124
LOC041,Mumbai,26.8835,74.0759
LOC042,Mumbai,25.9633,76.8054
LOC043,Mumbai,28.1294,77.4108
LOC044,Mumbai,19.4426,73.9089
LOC045,Surat,20.3514,75.3257
LOC046,Pune,24.2713,77.348
LOC047,Delhi,26.1167,74.7929
LOC048,Mumbai,26.2927,75.5675
LOC049,Surat,25.6363,74.85
LOC050,Mumbai,20.1181,73.6659
LOC051,Surat,23.5983,75.9562
LOC052,Delhi,28.6839,74.9265
LOC053,Ahmedabad,27.6956,75.4404
LOC054,Ahmedabad,27.102,74.7792
LOC055,Surat,26.9094,74.3526
LOC056,Pune,24.2004,73.8269
LOC057,Delhi,27.9393,74.0196
LOC058,Surat,23.0092,74.706
LOC059,Mumbai,28.5245,75.6597
LOC060,Delhi,19.7914,77.0736
