policy_id,claimant_id,start_date,end_date,policy_type,premium,date_order_invalid
POL0001,CLT0032,2025-09-01,2026-11-09,Comprehensive,74692,False
POL0002,CLT0054,2026-03-30,2026-11-19,Zero Dep,40485,False
POL0003,CLT0092,2025-12-23,2026-07-16,Third Party,67383,False
POL0004,CLT0032,2025-03-17,2026-12-02,Zero Dep,15726,False
POL0005,CLT0115,2026-01-20,2027-03-17,Comprehensive,70724,False
POL0006,CLT0029,2025-04-01,2027-02-16,Zero Dep,82889,False
POL0007,CLT0060,2025-01-26,2026-10-13,Comprehensive,30906,False
POL0008,CLT0059,2025-03-10,2027-02-15,Third Party,84616,False
POL0009,CLT0072,2025-11-01,2026-06-12,Third Party,81162,False
POL0010,CLT0055,2026-03-02,2027-04-10,Zero Dep,73446,False
POL0011,CLT0115,2025-03-23,2027-01-16,Third Party,73991,False
POL0012,CLT0034,2026-01-20,2026-05-07,Zero Dep,51347,False
POL0013,CLT0099,2026-02-03,2026-09-24,Third Party,46358,False
POL0014,CLT0036,2025-08-14,2026-02-09,Zero Dep,52450,False
POL0015,CLT0031,2025-05-20,2026-06-21,Third Party,85798,False
POL0016,CLT0011,2025-03-12,2026-03-19,Comprehensive,65205,False
POL0017,CLT0089,2025-03-20,2026-12-28,Comprehensive,23418,False
POL0018,CLT0054,2025-07-28,2026-06-19,Zero Dep,76069,False
POL0019,CLT0054,2025-02-01,2026-04-16,Third Party,66049,False
POL0020,CLT0116,2026-01-30,2026-10-27,Zero Dep,17560,False
POL0021,CLT0110,2026-03-27,2027-01-27,Zero Dep,64857,False
POL0022,CLT0062,2025-01-04,2027-04-28,Third Party,54139,False
POL0023,CLT0097,2025-07-19,2027-03-13,Third Party,85545,False
POL0024,CLT0096,2026-01-12,2026-10-07,Zero Dep,43906,False
POL0025,CLT0063,2025-04-23,2026-05-20,Third Party,78654,False
POL0026,CLT0004,2025-07-19,2026-06-22,Zero Dep,67994,False
POL0027,CLT0093,2025-03-26,2027-03-07,Third Party,31728,False
POL0028,CLT0080,2025-10-01,2026-01-14,Third Party,88975,False
POL0029,CLT0085,2025-01-14,2026-02-12,Zero Dep,71179,False
POL0030,CLT0018,2026-03-20,2026-08-25,Comprehensive,21590,False
POL0031,CLT0034,2025-07-14,2026-06-17,Comprehensive,74598,False
POL0032,CLT0042,2025-06-22,2027-01-25,Third Party,51471,False
POL0033,CLT0097,2026-05-03,2027-03-02,Third Party,48065,False
POL0034,CLT0107,2025-02-11,2026-08-29,Comprehensive,85702,False
POL0035,CLT0007,2026-05-03,2026-06-29,Comprehensive,23993,False
POL0036,CLT0100,2026-05-06,2026-11-30,Comprehensive,19067,False
POL0037,CLT0032,2025-04-13,2027-03-06,Comprehensive,34973,False
POL0038,CLT0031,2025-03-06,2026-08-31,Zero Dep,29993,False
POL0039,CLT0073,2026-05-01,2026-04-22,Third Party,48586,True
POL0040,CLT0099,2025-07-08,2026-03-27,Zero Dep,30012,False
POL0041,CLT0100,2026-02-24,2026-03-25,Third Party,29168,False
POL0042,CLT0075,2025-01-14,2027-04-21,Third Party,64192,False
POL0043,CLT0051,2026-04-28,2027-01-02,Comprehensive,24961,False
POL0044,CLT0076,2025-12-20,2027-03-02,Zero Dep,46830,False
POL0045,CLT0014,2025-12-23,2027-01-31,Third Party,30866,False
POL0046,CLT0102,2025-10-17,2027-02-05,Comprehensive,60508,False
POL0047,CLT0069,2025-08-08,2026-12-05,Third Party,24038,False
POL0048,CLT0065,2025-11-28,2026-06-24,Comprehensive,70057,False
POL0049,CLT0106,2025-09-08,2026-02-24,Third Party,62472,False
POL0050,CLT0082,2026-04-02,2027-03-01,Third Party,35052,False
POL0051,CLT0056,2025-04-01,2027-01-11,Zero Dep,50400,False
POL0052,CLT0079,2026-02-18,2027-04-16,Zero Dep,78372,False
POL0053,CLT0060,2025-08-12,2027-02-27,Zero Dep,50179,False
POL0054,CLT0042,2026-03-13,2026-05-06,Comprehensive,51559,False
POL0055,CLT0113,2025-08-19,2026-05-05,Third Party,89691,False
POL0056,CLT0079,2025-12-09,2026-07-14,Third Party,18761,False
POL0057,CLT0064,2026-03-12,2026-06-16,Comprehensive,78904,False
POL0058,CLT0028,2025-07-01,2027-02-13,Third Party,59608,False
POL0059,CLT0036,2026-03-27,2026-11-02,Zero Dep,51211,False
POL0060,CLT0072,2025-01-06,2026-09-22,Comprehensive,26221,False
POL0061,CLT0031,2026-01-04,2026-07-28,Third Party,87768,False
POL0062,CLT0098,2025-05-04,2026-12-20,Third Party,79332,False
POL0063,CLT0058,2026-02-10,2026-01-09,Comprehensive,53566,True
POL0064,CLT0029,2025-07-27,2026-12-21,Comprehensive,55135,False
POL0065,CLT0085,2025-10-25,2026-07-08,Third Party,87544,False
POL0066,CLT0068,2025-06-26,2026-08-06,Zero Dep,87140,False
POL0067,CLT0043,2025-06-30,2026-12-26,Third Party,50509,False
POL0068,CLT0040,2025-05-09,2026-04-29,Comprehensive,40242,False
